Car No	Destination of block	Inbound Train No	ArrivalDay No	arriving time at receivingarea	Receiving track No	Starting time of humping job	    Ending time of humping job	Departure Day No	Pull back engine No	Starting time of pull back job	Ending time of pull back job	Departure time at departure area	    outbound Train No	Departure track No
26	AK	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
15	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
48	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
50	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
109	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
113	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
115	AK	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
38	AK	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
21	AE	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
39	AE	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
49	AE	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
60	AE	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
77	AE	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
3	AE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
40	AE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
55	AE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
97	AE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
100	AE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:20	Day4,12:45	Day4,13:30	o323	D5
18	AY	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
26	AY	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
44	AY	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
48	AY	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
53	AY	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
32	AY	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
56	AY	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
65	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
73	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
78	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
83	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
104	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
112	AY	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
8	AY	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
22	AR	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
66	AR	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
29	AR	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
42	AR	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
68	AR	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
70	AR	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
2	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
10	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
24	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
46	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
110	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
117	AR	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
40	AR	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:20	Day4,12:45	Day4,13:40	o324	D6
63	AT	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
24	AT	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
53	AT	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
101	AT	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
9	AT	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
24	AT	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
30	AT	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
53	AT	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:45	Day4,12:55	Day4,13:50	o325	D7
40	AM	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
54	AM	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
44	AM	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
44	AM	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
81	AM	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
96	AM	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
44	AM	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,12:55	Day4,13:5	Day4,14:0	o326	D4
34	AB	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
59	AB	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
3	AB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
48	AB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
61	AB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
93	AB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
105	AB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
3	AB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
11	AB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
16	AB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
35	AB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
65	BB	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
9	BB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
15	BB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
19	BB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
47	BB	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
11	BB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
72	BB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
95	BB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
116	BB	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
32	BB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
36	BB	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
4	AU	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
12	AU	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
58	AU	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
38	AU	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
58	AU	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
86	AU	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
87	AU	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
18	AU	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
48	AU	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,12:45	Day4,13:25	Day4,14:10	o327	D3
29	BF	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
74	BF	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
37	BF	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
74	BF	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
14	BF	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
54	BF	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
11	BE	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
16	BE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
66	BE	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
6	BE	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,13:5	Day4,13:30	Day4,14:20	o328	D2
9	AO	i61	3	Day3,14:16	R2	Day3,21:9	Day3,21:27	4	1	Day4,13:30	Day4,13:40	Day4,14:30	o329	D5
77	AO	i69	3	Day3,21:13	R4	Day3,22:9	Day3,22:46	4	1	Day4,13:30	Day4,13:40	Day4,14:30	o329	D5
19	AO	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:30	Day4,13:40	Day4,14:30	o329	D5
106	AO	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:30	Day4,13:40	Day4,14:30	o329	D5
12	AI	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
64	AI	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
52	AI	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
25	AI	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
50	AL	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
26	AL	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	2	Day4,13:25	Day4,13:50	Day4,14:40	o330	D1
30	AQ	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
80	AQ	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
20	AQ	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
99	AQ	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
67	BD	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
34	BD	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
68	BD	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,13:40	Day4,14:5	Day4,14:50	o331	D6
36	BC	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
46	BC	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
45	BC	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
61	BC	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
14	AA	i71	4	Day4,4:7	R7	Day4,7:40	Day4,8:17	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
39	AA	i70	4	Day4,2:9	R6	Day4,8:27	Day4,8:59	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
63	AA	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	2	Day4,13:50	Day4,14:15	Day4,15:0	o332	D7
43	AS	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,14:5	Day4,14:30	Day4,15:15	o333	D4
94	AS	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,14:5	Day4,14:30	Day4,15:15	o333	D4
70	AS	i79	4	Day4,8:49	R8	Day4,10:13	Day4,10:45	4	1	Day4,14:5	Day4,14:30	Day4,15:15	o333	D4
8	BA	i77	4	Day4,7:54	R3	Day4,9:9	Day4,10:3	4	1	Day4,14:5	Day4,14:30	Day4,15:15	o333	D4
7	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
20	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
24	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
31	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
33	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
40	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
45	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
46	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
47	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
58	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
59	AH	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
17	AT	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
27	AT	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
30	AT	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
22	AK	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:15	Day4,14:55	Day4,15:40	o334	D3
9	AR	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
28	AR	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
35	AR	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
38	AR	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
54	AR	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
4	AY	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
5	AY	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
43	AY	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
36	AW	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
42	AW	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
52	AW	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,14:30	Day4,15:10	Day4,15:55	o335	D2
1	AC	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:55	Day4,15:20	Day4,16:5	o336	D1
18	AC	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:55	Day4,15:20	Day4,16:5	o336	D1
34	AC	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:55	Day4,15:20	Day4,16:5	o336	D1
10	AX	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,14:55	Day4,15:20	Day4,16:5	o336	D1
2	BF	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:20	Day4,15:30	Day4,16:15	o337	D4
3	BF	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:20	Day4,15:30	Day4,16:15	o337	D4
19	AN	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
41	AN	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
51	AN	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
6	AP	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
60	AP	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
15	BC	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
50	AJ	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	1	Day4,15:10	Day4,16:5	Day4,16:50	o338	D5
8	AF	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
29	AF	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
12	AB	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
13	AB	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
14	AU	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
55	AU	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
16	BA	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
37	BA	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
49	AS	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
53	AS	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
26	BB	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
39	AD	i72	4	Day4,5:16	R5	Day4,10:55	Day4,11:22	4	2	Day4,15:30	Day4,17:10	Day4,17:55	o339	D6
12	AW	i75	4	Day4,6:15	R1	Day4,11:32	Day4,11:55	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
13	AW	i75	4	Day4,6:15	R1	Day4,11:32	Day4,11:55	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
36	AW	i75	4	Day4,6:15	R1	Day4,11:32	Day4,11:55	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
42	AW	i75	4	Day4,6:15	R1	Day4,11:32	Day4,11:55	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
48	AW	i75	4	Day4,6:15	R1	Day4,11:32	Day4,11:55	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
9	AW	i80	4	Day4,10:7	R10	Day4,12:5	Day4,12:28	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
34	AW	i80	4	Day4,10:7	R10	Day4,12:5	Day4,12:28	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
36	AW	i80	4	Day4,10:7	R10	Day4,12:5	Day4,12:28	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
37	AW	i80	4	Day4,10:7	R10	Day4,12:5	Day4,12:28	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
45	AW	i80	4	Day4,10:7	R10	Day4,12:5	Day4,12:28	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
3	AW	i78	4	Day4,8:47	R4	Day4,12:38	Day4,12:56	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
22	AW	i78	4	Day4,8:47	R4	Day4,12:38	Day4,12:56	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
22	AW	i73	4	Day4,5:48	R9	Day4,13:6	Day4,13:24	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
33	AW	i73	4	Day4,5:48	R9	Day4,13:6	Day4,13:24	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
37	AW	i73	4	Day4,5:48	R9	Day4,13:6	Day4,13:24	4	1	Day4,17:21	Day4,17:31	Day4,18:16	o340	D1
