outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o283	4	2	Day4,3:15	Day4,3:40	Day4,4:25	6	2	3	AQ(2);BD(1);
o284	4	1	Day4,3:15	Day4,3:40	Day4,4:35	7	2	2	BE(1);BF(1);
o285	4	2	Day4,3:40	Day4,3:50	Day4,4:45	1	1	1	AO(1);
o286	4	2	Day4,3:50	Day4,4:15	Day4,5:0	4	2	6	AX(4);AC(2);
o287	4	1	Day4,3:40	Day4,4:50	Day4,5:35	2	5	14	AJ(6);AP(4);BE(2);AN(1);AA(1);
o288	4	2	Day4,4:15	Day4,4:55	Day4,5:45	3	3	8	AT(4);AH(3);AK(1);
o289	4	2	Day4,4:55	Day4,5:5	Day4,5:55	5	1	2	BG(2);
o290	4	1	Day4,4:50	Day4,5:30	Day4,6:15	1	3	10	AB(4);AF(3);AW(3);
o291	4	2	Day4,5:5	Day4,5:30	Day4,6:25	4	2	3	BB(2);AU(1);
o292	4	1	Day4,5:30	Day4,5:40	Day4,6:35	6	1	2	AV(2);
o293	4	1	Day4,5:40	Day4,5:50	Day4,6:45	2	1	1	AI(1);
o294	4	2	Day4,5:30	Day4,5:55	Day4,6:55	7	2	3	AY(2);AR(1);
o295	4	1	Day4,5:50	Day4,6:0	Day4,7:5	3	1	1	AE(1);
o296	4	2	Day4,5:55	Day4,6:20	Day4,7:15	5	2	7	AH(4);AK(3);
o297	4	1	Day4,6:15	Day4,7:25	Day4,8:10	1	5	10	AD(4);AS(2);AF(2);AU(1);AB(1);
o298	4	1	Day4,7:30	Day4,7:40	Day4,8:25	2	1	26	AP(26);
o299	4	2	Day4,7:30	Day4,7:40	Day4,8:35	4	1	28	AH(28);
o300	4	1	Day4,7:40	Day4,8:5	Day4,8:50	3	2	40	AW(22);AF(18);
o301	4	2	Day4,7:40	Day4,8:5	Day4,9:0	5	2	37	AJ(22);BG(15);
o302	4	1	Day4,8:5	Day4,8:30	Day4,9:15	6	2	31	AK(20);AE(11);
o303	4	2	Day4,8:5	Day4,8:30	Day4,9:25	7	2	21	AV(20);AZ(1);
o304	4	1	Day4,8:30	Day4,8:55	Day4,9:40	1	2	28	AX(18);AC(10);
o305	4	2	Day4,8:30	Day4,8:55	Day4,9:50	2	2	27	AD(18);AU(9);
o306	4	1	Day4,8:55	Day4,9:20	Day4,10:5	3	2	31	AR(16);AY(15);
o307	4	2	Day4,8:55	Day4,9:20	Day4,10:15	4	2	27	BE(14);AN(13);
o308	4	1	Day4,9:20	Day4,9:30	Day4,10:25	5	1	10	BF(10);
o309	4	2	Day4,9:20	Day4,9:30	Day4,10:35	6	1	8	AM(8);
o310	4	2	Day4,9:40	Day4,9:50	Day4,10:45	1	1	7	AG(7);
o311	4	1	Day4,9:30	Day4,9:55	Day4,10:55	7	2	9	AQ(7);BD(2);
o312	4	1	Day4,10:5	Day4,10:30	Day4,11:15	3	2	6	AA(4);BC(2);
o313	4	1	Day4,10:30	Day4,10:40	Day4,11:25	4	1	3	AT(3);
o314	4	2	Day4,9:50	Day4,10:45	Day4,11:35	2	4	19	AB(7);BB(5);AS(4);BA(3);
o315	4	2	Day4,10:45	Day4,10:55	Day4,11:45	6	1	36	AW(36);
o316	4	2	Day4,10:55	Day4,11:5	Day4,11:55	1	1	29	AH(29);
o317	4	1	Day4,10:40	Day4,11:5	Day4,12:5	5	2	3	AL(2);AI(1);
o318	4	1	Day4,11:5	Day4,11:30	Day4,12:15	7	2	26	AV(23);AZ(3);
o319	4	2	Day4,11:15	Day4,11:55	Day4,12:40	3	3	26	AX(18);AC(5);AG(3);
o320	4	1	Day4,11:30	Day4,11:55	Day4,12:50	4	2	29	AD(16);AF(13);
o321	4	2	Day4,11:55	Day4,12:20	Day4,13:5	2	2	32	AP(16);BG(16);
o322	4	1	Day4,11:55	Day4,12:20	Day4,13:15	1	2	28	AN(16);AJ(12);
o323	4	2	Day4,12:20	Day4,12:45	Day4,13:30	5	2	25	AK(15);AE(10);
o324	4	1	Day4,12:20	Day4,12:45	Day4,13:40	6	2	27	AY(14);AR(13);
o325	4	1	Day4,12:45	Day4,12:55	Day4,13:50	7	1	8	AT(8);
o326	4	1	Day4,12:55	Day4,13:5	Day4,14:0	4	1	7	AM(7);
o327	4	2	Day4,12:45	Day4,13:25	Day4,14:10	3	3	31	AB(11);BB(11);AU(9);
o328	4	1	Day4,13:5	Day4,13:30	Day4,14:20	2	2	10	BF(6);BE(4);
o329	4	1	Day4,13:30	Day4,13:40	Day4,14:30	5	1	4	AO(4);
o330	4	2	Day4,13:25	Day4,13:50	Day4,14:40	1	2	6	AI(4);AL(2);
o331	4	1	Day4,13:40	Day4,14:5	Day4,14:50	6	2	7	AQ(4);BD(3);
o332	4	2	Day4,13:50	Day4,14:15	Day4,15:0	7	2	7	BC(4);AA(3);
o333	4	1	Day4,14:5	Day4,14:30	Day4,15:15	4	2	4	AS(3);BA(1);
o334	4	2	Day4,14:15	Day4,14:55	Day4,15:40	3	3	15	AH(11);AT(3);AK(1);
o335	4	1	Day4,14:30	Day4,15:10	Day4,15:55	2	3	11	AR(5);AY(3);AW(3);
o336	4	2	Day4,14:55	Day4,15:20	Day4,16:5	1	2	4	AC(3);AX(1);
o337	4	2	Day4,15:20	Day4,15:30	Day4,16:15	4	1	2	BF(2);
o338	4	1	Day4,15:10	Day4,16:5	Day4,16:50	5	4	7	AN(3);AP(2);BC(1);AJ(1);
o339	4	2	Day4,15:30	Day4,17:10	Day4,17:55	6	7	12	AF(2);AB(2);AU(2);BA(2);AS(2);BB(1);AD(1);
o340	4	1	Day4,17:21	Day4,17:31	Day4,18:16	1	1	33	AW(33);
o341	4	2	Day4,17:21	Day4,17:31	Day4,18:26	2	1	25	AF(25);
o342	4	1	Day4,17:31	Day4,17:56	Day4,18:41	3	2	41	AP(24);AJ(17);
o343	4	2	Day4,17:31	Day4,17:56	Day4,18:51	4	2	40	AY(23);AR(17);
o344	4	1	Day4,17:56	Day4,18:21	Day4,19:6	5	2	28	AV(21);AZ(7);
o345	4	2	Day4,17:56	Day4,18:21	Day4,19:16	6	2	31	AH(19);AK(12);
o346	4	1	Day4,18:21	Day4,18:46	Day4,19:31	1	2	29	AN(16);BG(13);
o347	4	2	Day4,18:21	Day4,18:46	Day4,19:41	7	2	28	AX(15);AC(13);
o348	4	2	Day4,18:46	Day4,18:56	Day4,19:51	3	1	10	AE(10);
o349	4	1	Day4,18:46	Day4,19:26	Day4,20:11	2	3	33	AB(12);AD(11);AS(10);
o350	4	2	Day4,18:56	Day4,19:36	Day4,20:21	4	3	22	AU(10);BA(8);BB(4);
o351	4	2	Day4,19:36	Day4,20:1	Day4,20:46	1	2	13	AQ(8);BD(5);
o352	4	1	Day4,19:26	Day4,20:6	Day4,20:56	5	3	20	AA(9);BE(8);BC(3);
o353	4	2	Day4,20:1	Day4,20:11	Day4,21:6	3	1	8	BF(8);
o354	4	1	Day4,20:6	Day4,20:16	Day4,21:16	6	1	7	AT(7);
o355	4	2	Day4,20:11	Day4,20:21	Day4,21:26	2	1	6	AM(6);
o356	4	2	Day4,20:21	Day4,20:31	Day4,21:36	4	1	5	AG(5);
o357	4	1	Day4,20:16	Day4,20:41	Day4,21:46	7	2	8	AL(5);AI(3);
o358	4	2	Day4,20:46	Day4,20:56	Day4,21:56	1	1	2	AO(2);
o359	4	1	Day4,20:56	Day4,21:36	Day4,22:21	5	3	18	AW(10);AR(7);AY(1);
o360	5	2	Day4,21:6	Day4,22:16	Day4,23:1	3	5	25	AP(10);AJ(6);AN(4);BC(4);AA(1);
o361	5	1	Day4,21:36	Day4,22:46	Day4,23:31	2	5	22	BB(9);AD(4);AU(4);AF(4);AS(1);
o362	5	2	Day4,22:16	Day4,22:56	Day4,23:41	1	3	13	AH(6);AK(6);AE(1);
o363	5	2	Day4,22:56	Day4,23:6	Day4,23:51	5	1	3	BG(3);
o364	5	2	Day4,23:6	Day4,23:16	Day5,0:1	3	1	3	AV(3);
o365	5	1	Day4,22:46	Day4,23:26	Day5,0:11	4	3	8	AC(5);AG(2);AX(1);
o366	5	2	Day4,23:16	Day4,23:26	Day5,0:21	6	1	2	AO(2);
o367	5	2	Day4,23:31	Day4,23:41	Day5,0:31	2	1	2	BF(2);
o368	5	2	Day4,23:41	Day4,23:51	Day5,0:41	1	1	1	AM(1);
o369	5	1	Day4,23:26	Day4,23:51	Day5,0:51	7	2	3	BD(2);AQ(1);
o370	5	2	Day5,0:7	Day5,0:17	Day5,1:2	3	1	50	AH(50);
o371	5	1	Day4,23:51	Day5,1:16	Day5,2:1	5	6	23	AP(8);AA(4);AJ(3);BC(3);AN(3);BE(2);
o372	5	1	Day5,1:35	Day5,1:45	Day5,2:30	1	1	43	AP(43);
o373	5	2	Day5,1:35	Day5,1:45	Day5,2:40	4	1	47	AW(47);
o374	5	1	Day5,1:45	Day5,1:55	Day5,2:50	2	1	42	AK(42);
o375	5	2	Day5,1:45	Day5,1:55	Day5,3:0	3	1	36	AX(36);
o376	5	1	Day5,1:55	Day5,2:5	Day5,3:10	6	1	30	AR(30);
o377	5	2	Day5,1:55	Day5,2:5	Day5,3:20	7	1	28	AV(28);
o378	5	1	Day5,2:5	Day5,2:15	Day5,3:30	5	1	25	AF(25);
o379	5	2	Day5,2:30	Day5,2:55	Day5,3:40	1	2	44	AJ(23);BG(21);
o380	5	2	Day5,2:55	Day5,3:5	Day5,3:50	2	1	20	AY(20);
o381	5	1	Day5,2:40	Day5,3:5	Day5,4:0	4	2	28	AC(21);AG(7);
o382	5	1	Day5,3:5	Day5,3:30	Day5,4:15	3	2	34	BE(20);BF(14);
o383	5	2	Day5,3:10	Day5,3:35	Day5,4:25	6	2	33	AD(19);BB(14);
o384	5	1	Day5,3:30	Day5,4:10	Day5,4:55	7	3	34	AB(13);AS(11);AU(10);
o385	5	2	Day5,3:35	Day5,4:15	Day5,5:5	5	3	30	AN(13);AA(10);BC(7);
o386	5	2	Day5,4:15	Day5,4:25	Day5,5:15	2	1	12	AM(12);
o387	5	1	Day5,4:10	Day5,4:35	Day5,5:25	1	2	21	AE(13);AH(8);
o388	5	2	Day5,4:25	Day5,4:35	Day5,5:35	3	1	12	AT(12);
o389	5	2	Day5,4:35	Day5,4:45	Day5,5:45	6	1	6	AZ(6);
o390	5	1	Day5,4:35	Day5,5:0	Day5,5:55	4	2	18	AQ(10);BD(8);
o391	5	2	Day5,4:55	Day5,5:5	Day5,6:5	7	1	4	BA(4);
o392	5	2	Day5,5:15	Day5,5:25	Day5,6:15	2	1	3	AO(3);
o393	5	1	Day5,5:5	Day5,5:30	Day5,6:25	5	2	7	AI(4);AL(3);
o394	5	2	Day5,5:25	Day5,6:5	Day5,6:50	1	3	12	AF(6);AW(5);AB(1);
o395	5	1	Day5,5:35	Day5,6:15	Day5,7:0	3	3	8	AK(4);AE(3);AH(1);
o396	5	2	Day5,6:5	Day5,6:30	Day5,7:15	4	2	6	AC(4);AX(2);
o397	5	2	Day5,6:30	Day5,6:55	Day5,7:40	2	2	4	AR(3);AY(1);
o398	5	2	Day5,6:55	Day5,7:20	Day5,8:5	1	2	3	BF(2);BE(1);
o399	5	1	Day5,6:15	Day5,7:25	Day5,8:15	6	5	9	AJ(3);AN(2);AP(2);AA(1);BG(1);
o400	5	2	Day5,7:20	Day5,7:30	Day5,8:25	3	1	1	AO(1);
o401	5	1	Day5,7:25	Day5,7:35	Day5,8:35	4	1	26	AH(26);
o402	5	2	Day5,7:30	Day5,7:40	Day5,8:45	5	1	25	AR(25);
o403	5	1	Day5,7:35	Day5,7:45	Day5,8:55	7	1	25	AP(25);
o404	5	2	Day5,7:40	Day5,7:50	Day5,9:5	2	1	25	AW(25);
o405	5	1	Day5,8:5	Day5,8:30	Day5,9:15	1	2	38	AX(20);AC(18);
o406	5	2	Day5,8:15	Day5,8:40	Day5,9:25	6	2	33	BG(19);AN(14);
o407	5	1	Day5,8:30	Day5,8:55	Day5,9:40	3	2	33	AY(19);AF(14);
o408	5	2	Day5,8:40	Day5,9:5	Day5,9:50	4	2	29	AK(18);AE(11);
o409	5	1	Day5,8:55	Day5,9:20	Day5,10:5	5	2	26	AV(18);AZ(8);
o410	5	2	Day5,9:5	Day5,9:30	Day5,10:15	7	2	28	AB(15);AD(13);
o411	5	1	Day5,9:20	Day5,9:45	Day5,10:30	1	2	23	BF(13);BE(10);
o412	5	2	Day5,9:30	Day5,9:55	Day5,10:40	2	2	37	AJ(21);AA(16);
o413	5	1	Day5,9:45	Day5,10:10	Day5,10:55	3	2	28	AH(20);AK(8);
o414	5	2	Day5,9:55	Day5,10:20	Day5,11:5	4	2	26	AU(16);AD(10);
o415	5	1	Day5,10:10	Day5,10:35	Day5,11:20	5	2	18	BD(10);AQ(8);
o416	5	2	Day5,10:20	Day5,10:45	Day5,11:30	6	2	11	AV(9);AZ(2);
o417	5	2	Day5,10:45	Day5,11:25	Day5,12:10	2	3	25	AC(9);AG(8);AX(8);
o418	5	1	Day5,10:35	Day5,11:30	Day5,12:20	1	4	28	AP(9);BC(9);BE(5);AN(5);
o419	5	2	Day5,11:25	Day5,12:5	Day5,12:50	3	3	23	AY(9);AW(9);AR(5);
o420	5	2	Day5,12:5	Day5,12:15	Day5,13:0	5	1	9	AM(9);
o421	5	1	Day5,11:30	Day5,12:25	Day5,13:10	4	4	26	BB(9);AS(9);AF(4);AB(4);
o422	5	2	Day5,12:15	Day5,12:25	Day5,13:20	2	1	7	AE(7);
o423	5	1	Day5,12:25	Day5,12:35	Day5,13:30	1	1	7	BG(7);
o424	5	1	Day5,12:35	Day5,12:45	Day5,13:40	7	1	4	AT(4);
o425	5	2	Day5,12:25	Day5,12:50	Day5,13:50	6	2	8	AI(4);AL(4);
o426	5	1	Day5,12:50	Day5,13:0	Day5,14:0	3	1	4	AO(4);
o427	5	2	Day5,13:0	Day5,13:10	Day5,14:10	5	1	3	BF(3);
o428	5	1	Day5,13:10	Day5,13:20	Day5,14:20	4	1	2	BA(2);
o429	5	1	Day5,13:30	Day5,13:40	Day5,14:30	1	1	31	AN(31);
o430	5	1	Day5,13:40	Day5,13:50	Day5,14:40	7	1	29	AW(29);
o431	5	2	Day5,13:20	Day5,14:0	Day5,14:50	2	3	15	AF(7);AY(5);AW(3);
o432	5	1	Day5,13:50	Day5,14:0	Day5,15:0	6	1	26	AH(26);
o433	5	2	Day5,14:0	Day5,14:25	Day5,15:10	3	2	23	AV(22);AZ(1);
o434	5	1	Day5,14:10	Day5,14:35	Day5,15:20	5	2	34	AK(19);AE(15);
o435	5	2	Day5,14:25	Day5,14:50	Day5,15:35	4	2	33	AY(17);AF(16);
o436	5	1	Day5,14:35	Day5,15:0	Day5,15:45	1	2	32	BG(17);AJ(15);
o437	5	2	Day5,14:50	Day5,15:15	Day5,16:0	7	2	26	AP(14);BF(12);
o438	5	1	Day5,15:0	Day5,15:40	Day5,16:25	2	3	22	AX(13);AC(5);AG(4);
o439	5	1	Day5,15:40	Day5,15:50	Day5,16:35	4	1	12	AR(12);
o440	5	2	Day5,15:15	Day5,15:55	Day5,16:45	3	3	31	AD(13);AB(9);BB(9);
o441	5	1	Day5,15:50	Day5,16:0	Day5,16:55	1	1	10	AT(10);
o442	5	2	Day5,15:55	Day5,16:35	Day5,17:20	5	3	22	AA(9);BE(7);BC(6);
o443	5	1	Day5,16:34	Day5,16:44	Day5,17:30	2	1	28	AH(28);
o444	5	2	Day5,16:35	Day5,16:45	Day5,17:40	4	1	28	AW(28);
o445	5	1	Day5,16:44	Day5,17:9	Day5,17:54	6	2	24	AV(22);AZ(2);
o446	5	2	Day5,16:45	Day5,17:10	Day5,18:4	3	2	25	AQ(18);BD(7);
o447	5	1	Day5,17:9	Day5,17:34	Day5,18:19	1	2	33	AJ(17);AP(16);
o448	5	2	Day5,17:10	Day5,17:35	Day5,18:29	7	2	32	AS(17);AU(15);
o449	5	1	Day5,17:34	Day5,17:59	Day5,18:44	2	2	28	AR(16);AY(12);
o450	5	2	Day5,17:35	Day5,18:0	Day5,18:54	5	2	20	AK(15);AE(5);
o451	5	1	Day5,17:59	Day5,18:24	Day5,19:9	4	2	25	AF(13);AB(12);
o452	5	2	Day5,18:0	Day5,18:25	Day5,19:19	6	2	37	BG(19);AN(18);
o453	5	1	Day5,18:24	Day5,18:49	Day5,19:34	1	2	27	AH(17);AK(10);
o454	5	2	Day5,18:25	Day5,18:50	Day5,19:44	3	2	27	AX(17);AC(10);
o455	5	1	Day5,18:49	Day5,19:14	Day5,19:59	2	2	27	AD(15);BB(12);
o456	5	2	Day5,19:7	Day5,19:32	Day5,20:17	5	2	40	AW(23);AY(17);
o457	5	2	Day5,20:2	Day5,20:27	Day5,21:12	1	2	25	AV(18);AZ(7);
o458	5	1	Day5,20:2	Day5,20:27	Day5,21:22	4	2	43	AP(23);AA(20);
o459	5	1	Day5,20:27	Day5,20:52	Day5,21:37	2	2	28	AR(18);AW(10);
o460	5	2	Day5,20:53	Day5,21:3	Day5,21:48	3	1	25	AH(25);
o461	5	1	Day5,20:53	Day5,21:18	Day5,22:3	5	2	41	BE(21);BC(20);
o462	6	2	Day5,21:53	Day5,22:18	Day5,23:3	1	2	44	AF(23);AB(21);
o463	6	1	Day5,21:53	Day5,22:18	Day5,23:13	4	2	34	AK(21);AE(13);
o464	6	1	Day5,22:49	Day5,22:59	Day5,23:44	2	1	29	AW(29);
o465	6	2	Day5,22:49	Day5,22:59	Day5,23:54	3	1	25	AH(25);
o466	6	1	Day5,23:44	Day5,23:54	Day6,0:39	1	1	30	AX(30);
o467	6	2	Day5,23:44	Day6,0:9	Day6,0:54	5	2	40	AY(24);AR(16);
o468	6	1	Day6,0:26	Day6,0:51	Day6,1:36	2	2	33	AV(24);AZ(9);
o469	6	2	Day6,0:26	Day6,0:51	Day6,1:46	3	2	48	AP(24);BF(24);
o470	6	2	Day6,1:3	Day6,1:13	Day6,1:58	4	1	25	AN(25);
o471	6	1	Day6,0:51	Day6,1:16	Day6,2:8	1	2	43	AD(23);BB(20);
o472	6	2	Day6,1:13	Day6,1:38	Day6,2:23	5	2	45	BG(24);AJ(21);
o473	6	1	Day6,2:12	Day6,2:22	Day6,3:7	2	1	29	AK(29);
o474	6	2	Day6,2:12	Day6,2:22	Day6,3:17	3	1	28	AH(28);
o475	6	1	Day6,2:22	Day6,2:32	Day6,3:27	1	1	24	AM(24);
o476	6	2	Day6,2:22	Day6,2:47	Day6,3:37	4	2	37	AC(24);AG(13);
o477	6	1	Day6,2:32	Day6,2:57	Day6,3:47	5	2	39	AW(22);AR(17);
o478	6	2	Day6,2:49	Day6,3:14	Day6,3:59	6	2	40	AU(22);AD(18);
o479	6	1	Day6,2:57	Day6,3:22	Day6,4:9	7	2	39	AI(20);AL(19);
o480	6	2	Day6,3:14	Day6,3:39	Day6,4:24	2	2	26	AT(19);AH(7);
o481	6	1	Day6,3:22	Day6,3:47	Day6,4:34	3	2	30	AB(15);AS(15);
o482	6	2	Day6,4:3	Day6,4:13	Day6,4:58	1	1	27	AP(27);
o483	6	1	Day6,4:3	Day6,4:13	Day6,5:8	4	1	26	AX(26);
o484	6	1	Day6,4:59	Day6,5:9	Day6,5:54	2	1	26	AV(26);
o485	6	2	Day6,4:59	Day6,5:9	Day6,6:4	5	1	25	AY(25);
o486	6	1	Day6,5:45	Day6,5:55	Day6,6:40	1	1	26	AH(26);
o487	6	2	Day6,5:45	Day6,5:55	Day6,6:50	3	1	25	AQ(25);
o488	6	1	Day6,6:31	Day6,6:41	Day6,7:26	2	1	25	AE(25);
o489	6	2	Day6,6:31	Day6,6:41	Day6,7:36	4	1	25	AK(25);
o490	6	1	Day6,7:18	Day6,7:28	Day6,8:13	1	1	34	AW(34);
o491	6	2	Day6,7:18	Day6,7:28	Day6,8:23	3	1	25	BE(25);
o492	6	1	Day6,7:28	Day6,7:38	Day6,8:33	2	1	25	AA(25);
o493	6	2	Day6,7:28	Day6,7:53	Day6,8:43	5	2	45	AN(24);BG(21);
o494	6	1	Day6,7:55	Day6,8:5	Day6,8:53	4	1	25	AC(25);
o495	6	2	Day6,7:55	Day6,8:5	Day6,9:3	6	1	25	AR(25);
o496	6	1	Day6,8:5	Day6,8:15	Day6,9:13	7	1	25	AX(25);
o497	6	2	Day6,8:37	Day6,8:47	Day6,9:32	1	1	31	AH(31);
o498	6	1	Day6,8:37	Day6,8:47	Day6,9:42	3	1	28	AP(28);
o499	6	1	Day6,8:47	Day6,8:57	Day6,9:52	2	1	27	AD(27);
o500	6	2	Day6,8:47	Day6,8:57	Day6,10:2	5	1	25	BF(25);
o501	6	1	Day6,8:57	Day6,9:22	Day6,10:12	4	2	41	BC(24);AJ(17);
o502	6	2	Day6,9:14	Day6,9:24	Day6,10:22	6	1	25	AY(25);
o503	6	1	Day6,9:22	Day6,9:47	Day6,10:32	7	2	29	BD(23);AQ(6);
o504	6	2	Day6,9:32	Day6,9:57	Day6,10:42	1	2	42	AF(22);AW(20);
o505	6	1	Day6,9:47	Day6,10:12	Day6,10:57	3	2	36	BA(20);BB(16);
o506	6	2	Day6,9:57	Day6,10:22	Day6,11:7	2	2	27	AV(19);AZ(8);
o507	6	1	Day6,10:38	Day6,11:3	Day6,11:48	4	2	44	AH(23);AK(21);
o508	6	2	Day6,10:38	Day6,11:3	Day6,11:58	5	2	31	AX(19);AG(12);
o509	6	1	Day6,11:3	Day6,11:13	Day6,12:8	1	1	18	AO(18);
o510	6	2	Day6,11:42	Day6,12:7	Day6,12:52	2	2	44	AN(24);AP(20);
o511	6	1	Day6,11:42	Day6,12:7	Day6,13:2	3	2	33	AT(20);AH(13);
o512	6	1	Day6,12:29	Day6,12:54	Day6,13:39	1	2	42	AR(23);AW(19);
o513	6	2	Day6,12:29	Day6,12:54	Day6,13:49	4	2	42	AB(23);AU(19);
o514	6	1	Day6,13:15	Day6,13:40	Day6,14:25	2	2	37	AS(23);AF(14);
o515	6	2	Day6,13:15	Day6,13:40	Day6,14:35	3	2	39	AJ(20);BG(19);
o516	6	1	Day6,14:24	Day6,14:34	Day6,15:19	1	1	28	AH(28);
o517	6	2	Day6,14:24	Day6,14:34	Day6,15:29	4	1	25	AV(25);
o518	6	1	Day6,15:19	Day6,15:29	Day6,16:14	2	1	31	AX(31);
o519	6	2	Day6,15:19	Day6,15:29	Day6,16:24	3	1	27	AK(27);
o520	6	1	Day6,16:6	Day6,16:16	Day6,17:1	1	1	30	AP(30);
o521	6	2	Day6,16:6	Day6,16:16	Day6,17:11	4	1	30	AW(30);
o522	6	1	Day6,16:16	Day6,16:26	Day6,17:21	2	1	28	AY(28);
o523	6	2	Day6,16:16	Day6,16:26	Day6,17:31	5	1	26	BF(26);
o524	6	1	Day6,16:26	Day6,16:36	Day6,17:41	3	1	26	AD(26);
o525	6	2	Day6,16:26	Day6,16:36	Day6,17:51	6	1	25	AM(25);
o526	6	1	Day6,16:36	Day6,16:46	Day6,18:1	7	1	25	AE(25);
o527	6	2	Day6,17:1	Day6,17:11	Day6,18:11	1	1	27	BE(27);
o528	6	2	Day6,17:34	Day6,17:44	Day6,18:29	2	1	28	AN(28);
o529	6	1	Day6,17:34	Day6,17:44	Day6,18:39	4	1	32	AH(32);
o530	6	1	Day6,17:44	Day6,18:9	Day6,18:54	3	2	38	AR(24);AW(14);
o531	6	2	Day6,17:44	Day6,18:9	Day6,19:4	5	2	31	AC(24);AG(7);
o532	6	1	Day6,18:9	Day6,18:34	Day6,19:19	6	2	42	BB(22);AF(20);
o533	6	2	Day6,18:16	Day6,18:41	Day6,19:29	1	2	46	AJ(24);AA(22);
o534	6	1	Day6,19:11	Day6,19:21	Day6,20:6	2	1	25	AB(25);
o535	6	2	Day6,19:11	Day6,19:36	Day6,20:21	3	2	41	BC(22);AP(19);
o536	6	1	Day6,19:58	Day6,20:8	Day6,20:53	1	1	25	AV(25);
o537	6	2	Day6,19:58	Day6,20:23	Day6,21:8	4	2	39	AW(22);AY(17);
o538	6	1	Day6,20:39	Day6,20:49	Day6,21:34	2	1	26	AK(26);
o539	6	2	Day6,20:39	Day6,21:4	Day6,21:49	3	2	33	AH(22);AE(11);
o540	6	1	Day6,21:17	Day6,21:42	Day6,22:27	1	2	36	BG(23);AP(13);
o541	6	2	Day6,21:17	Day6,21:42	Day6,22:37	4	2	34	AR(21);AW(13);
o542	7	1	Day6,22:12	Day6,22:37	Day6,23:22	2	2	41	AF(23);AD(18);
o543	7	2	Day6,22:12	Day6,22:37	Day6,23:32	3	2	39	AX(23);AC(16);
o544	7	1	Day6,22:54	Day6,23:19	Day7,0:4	1	2	32	AV(21);AZ(11);
o545	7	2	Day6,22:54	Day6,23:19	Day7,0:14	4	2	40	BE(21);AN(19);
o546	7	1	Day6,23:19	Day6,23:44	Day7,0:29	5	2	36	AQ(20);BD(16);
o547	7	2	Day6,23:31	Day6,23:56	Day7,0:41	2	2	38	AK(23);AH(15);
o548	7	1	Day7,0:40	Day7,0:50	Day7,1:35	1	1	25	AU(25);
o549	7	2	Day7,0:40	Day7,1:5	Day7,1:50	3	2	41	AB(21);AW(20);
o550	7	1	Day7,1:36	Day7,1:46	Day7,2:31	1	1	27	AP(27);
o551	7	2	Day7,1:36	Day7,1:46	Day7,2:41	2	1	26	BG(26);
o552	7	1	Day7,2:18	Day7,2:28	Day7,3:13	3	1	27	AH(27);
o553	7	2	Day7,2:18	Day7,2:28	Day7,3:23	4	1	26	AS(26);
o554	7	1	Day7,2:28	Day7,2:53	Day7,3:38	5	2	46	AY(24);AR(22);
o555	7	2	Day7,2:55	Day7,3:5	Day7,3:50	1	1	25	AA(25);
o556	7	1	Day7,2:55	Day7,3:5	Day7,4:0	2	1	25	AL(25);
o557	7	1	Day7,3:5	Day7,3:30	Day7,4:15	6	2	32	AV(24);AZ(8);
o558	7	2	Day7,3:32	Day7,3:42	Day7,4:27	3	1	25	BF(25);
o559	7	1	Day7,3:32	Day7,3:57	Day7,4:42	4	2	41	AJ(24);BC(17);
o560	7	2	Day7,4:9	Day7,4:19	Day7,5:4	1	1	26	AW(26);
o561	7	1	Day7,4:9	Day7,4:34	Day7,5:19	2	2	47	BB(24);AF(23);
o562	7	2	Day7,4:42	Day7,4:52	Day7,5:37	3	1	27	AX(27);
o563	7	1	Day7,4:42	Day7,4:52	Day7,5:47	4	1	25	AT(25);
o564	7	1	Day7,4:52	Day7,5:17	Day7,6:2	5	2	45	AE(24);AK(21);
o565	7	2	Day7,5:15	Day7,5:25	Day7,6:12	1	1	25	AD(25);
o566	7	1	Day7,5:17	Day7,5:27	Day7,6:22	6	1	25	AP(25);
o567	7	2	Day7,5:25	Day7,6:5	Day7,6:50	2	3	25	AH(21);AE(2);AK(2);
o568	7	1	Day7,5:48	Day7,6:13	Day7,7:0	3	2	42	BG(21);AN(21);
o569	7	2	Day7,6:5	Day7,6:30	Day7,7:15	4	2	23	AI(21);AL(2);
o570	7	1	Day7,6:13	Day7,6:38	Day7,7:25	1	2	32	BE(20);BF(12);
o571	7	1	Day7,6:38	Day7,6:48	Day7,7:35	6	1	18	AM(18);
o572	7	2	Day7,6:30	Day7,6:55	Day7,7:45	5	2	30	AC(19);AG(11);
o573	7	1	Day7,6:48	Day7,7:13	Day7,7:58	7	2	34	AR(17);AY(17);
o574	7	2	Day7,6:55	Day7,7:20	Day7,8:8	2	2	33	BA(17);AB(16);
o575	7	1	Day7,7:13	Day7,7:38	Day7,8:23	3	2	20	AV(16);AZ(4);
o576	7	2	Day7,7:25	Day7,7:50	Day7,8:35	4	2	40	AW(23);AF(17);
o577	7	1	Day7,8:2	Day7,8:27	Day7,9:12	1	2	40	AH(23);AK(17);
o578	7	2	Day7,8:2	Day7,8:27	Day7,9:22	5	2	30	AQ(19);BD(11);
