Inbound Train No	Day No	Arriving time at receiving area	Receiving track No	Number of blocks    	Number of cars	Destination of blocks (number of cars)	Starting time of humping job	Ending time of humping job
i88	4	Day4,18:46	R1	28	100	AX(9);AF(3);AP(6);BE(1);AJ(8);AT(2);AB(1);AW(12);AD(2);AH(10);AN(4);BB(3);AC(1);AV(4);AZ(3);AU(3);AQ(2);AK(7);AS(1);AR(3);AA(2);AE(3);BG(4);AL(1);AY(1);AO(1);AG(2);BF(1);	Day4,19:43	Day4,20:28
i89	4	Day4,18:56	R3	27	80	AR(3);AY(1);AM(3);AK(7);BG(3);BE(6);AH(8);AV(5);AE(4);AC(1);AF(4);AP(6);AA(2);AX(3);AW(3);BD(1);AJ(4);AD(2);AT(2);BF(3);AZ(1);BC(2);AU(1);AG(2);AB(1);AN(1);AS(1);	Day4,20:38	Day4,21:15
i90	4	Day4,20:9	R2	26	60	AY(2);AP(5);AV(2);AR(3);AK(3);AU(1);AW(6);AB(1);AH(5);AN(2);AG(1);AA(2);AX(6);AD(3);BB(2);BE(1);AM(1);BD(1);AE(1);BF(2);AS(1);AT(1);BC(1);AF(4);AC(2);AJ(1);	Day4,21:25	Day4,21:52
i87	4	Day4,18:13	R4	24	50	AU(2);AE(1);AP(2);AF(1);AH(6);AT(1);AW(2);BC(1);BD(1);AS(2);AR(5);BG(4);BB(2);AN(1);AX(3);AC(2);BE(3);AD(2);AL(1);AV(2);AK(3);AY(1);AB(1);AO(1);	Day4,22:2	Day4,22:25
i91	4	Day4,22:42	R1	28	90	AJ(5);AK(5);AR(3);AW(8);AQ(4);AS(2);BG(2);AC(1);AH(6);AV(6);AN(2);AX(6);AP(6);BE(3);BF(4);AT(1);BD(4);BB(3);AA(2);AY(3);AM(1);AB(1);AF(3);AE(1);AD(3);AL(1);BA(1);BC(3);	Day4,23:27	Day5,0:7
i93	5	Day5,0:14	R1	24	80	AH(8);AW(4);AC(4);AR(5);AA(1);BG(5);AP(10);AK(8);AX(5);AY(4);BB(1);AF(5);AI(2);AB(2);BE(3);AM(1);AJ(2);AT(1);AV(3);AN(1);BF(2);AZ(1);AS(1);AD(1);	Day5,0:59	Day5,1:35
i92	4	Day4,23:47	R2	25	50	AK(4);BF(2);AN(2);AF(6);AE(3);AO(1);AP(2);AH(1);BB(1);AJ(3);AW(5);AX(2);AB(1);AY(1);AZ(1);AC(4);AA(1);AR(3);AQ(1);BD(1);BG(1);AI(1);BE(1);AV(1);AU(1);	Day5,1:45	Day5,2:8
i94	5	Day5,1:26	R1	25	50	AR(4);AE(2);AB(2);AX(3);BE(3);BG(4);AA(2);AG(3);AN(2);AZ(1);BF(3);AV(3);AC(1);BC(2);AF(2);AP(1);AH(2);AY(1);AK(2);AD(1);AJ(1);BB(2);AM(1);AS(1);AI(1);	Day5,2:18	Day5,2:41
i97	5	Day5,3:21	R2	28	100	AK(6);AA(3);BE(4);BF(3);AP(9);AX(7);AH(9);AC(5);AY(6);AW(3);BD(3);AF(4);AS(3);AR(3);AB(4);AD(3);AZ(2);AN(1);AE(5);AG(1);BG(4);BB(1);AJ(3);AT(2);AV(3);BA(1);AQ(1);AU(1);	Day5,4:6	Day5,4:51
i101	5	Day5,4:2	R4	28	100	AH(7);AY(5);AU(2);AM(4);BD(5);AC(7);AJ(1);AB(3);AR(10);AA(3);AP(2);AE(1);AW(12);AL(1);BG(5);AG(1);AK(6);BF(2);AX(3);AN(3);BC(2);AZ(2);AV(3);AD(3);AQ(2);AS(1);AF(3);BB(1);	Day5,5:1	Day5,5:47
i102	5	Day5,5:0	R2	32	80	AS(2);AE(2);AW(2);AN(3);AL(1);AK(3);AX(3);AD(5);AB(3);BF(3);AH(5);BG(4);AP(7);AR(5);AY(4);AF(2);AA(3);BD(1);AT(1);BC(2);AJ(2);AC(2);AU(3);AZ(1);AV(2);BE(2);AO(2);BB(1);AQ(1);AM(1);AI(1);AG(1);	Day5,5:57	Day5,6:33
i98	5	Day5,3:36	R5	26	70	AX(4);AH(3);AC(3);BC(3);AB(3);AR(3);AN(5);AP(6);AJ(3);BG(2);AW(8);AY(3);AK(1);BF(2);AV(6);AF(3);AZ(1);AL(1);AD(1);AT(1);AU(2);BA(1);BE(1);AO(2);AE(1);AA(1);	Day5,6:43	Day5,7:15
i96	5	Day5,2:33	R1	21	50	AV(4);AH(6);AZ(1);AP(3);AJ(5);AC(2);AY(4);AD(4);BE(2);AU(2);AQ(1);AN(2);AE(4);AF(1);AR(1);AA(1);BB(1);AX(2);AK(1);BG(2);AW(1);	Day5,7:25	Day5,7:48
i104	5	Day5,6:49	R2	25	60	AH(7);AY(4);BE(2);AK(5);AE(1);AD(4);AA(1);BF(1);AP(5);AJ(3);AR(1);AG(2);AV(2);AL(1);AU(1);AC(5);AM(2);BB(2);BG(2);AX(2);AS(1);AN(1);AQ(2);AF(1);AW(2);	Day5,7:58	Day5,8:25
i105	5	Day5,7:30	R5	24	60	AW(6);AU(4);AY(1);AD(2);AH(7);AX(4);AJ(3);AB(4);AE(2);AM(1);BG(3);AR(3);AI(1);AP(1);AA(2);AZ(1);AV(3);AF(2);AN(2);AC(2);AK(2);BF(2);BE(1);AS(1);	Day5,8:35	Day5,9:2
i106	5	Day5,8:9	R1	23	50	AN(5);AK(2);AW(3);AB(1);AP(1);AL(1);AX(3);AJ(5);AH(2);AU(2);AE(1);AF(7);AA(2);AT(1);AY(5);BD(1);BG(2);AR(1);AM(1);AD(1);AV(1);BB(1);BE(1);	Day5,9:12	Day5,9:35
i107	5	Day5,8:43	R2	25	70	AW(6);AF(1);BE(1);BB(4);BG(5);AV(3);AN(6);AA(3);AB(2);AR(2);AJ(2);AY(7);AO(2);AH(6);AQ(2);BD(2);AS(3);AL(2);AD(1);AE(2);AP(4);BC(1);AX(1);AZ(1);AT(1);	Day5,9:45	Day5,10:17
i108	5	Day5,8:45	R5	24	60	AV(4);AW(4);AK(8);BE(1);AR(3);AT(4);AH(4);AD(4);AF(4);AL(1);AB(3);AQ(2);AY(1);AI(1);AJ(2);AM(3);BC(1);AE(3);AX(1);BB(1);AG(1);BG(1);AN(2);BF(1);	Day5,10:27	Day5,10:54
i100	5	Day5,3:48	R6	22	50	AN(5);AP(2);AU(3);AX(4);AH(1);AS(3);AE(2);AT(2);AO(1);AV(3);AW(5);AL(2);AR(3);BD(2);AK(2);AC(2);BC(1);AD(2);BA(1);AY(2);AF(1);BF(1);	Day5,11:4	Day5,11:27
i95	5	Day5,2:20	R3	19	40	AE(4);AV(3);AK(3);AP(4);AH(2);AJ(2);AC(1);BG(3);AR(1);AF(3);AN(2);AO(2);AW(2);AG(1);BA(1);AY(3);BE(1);AB(1);AD(1);	Day5,11:37	Day5,11:55
i103	5	Day5,6:44	R4	16	30	BD(1);AP(1);BG(1);AN(4);AH(6);BF(3);AD(1);BC(2);AF(2);AS(2);AJ(1);BB(2);AV(1);AI(1);AG(1);AO(1);	Day5,12:5	Day5,12:19
i109	5	Day5,11:24	R8	28	100	AN(7);AV(7);AW(12);AJ(3);AY(4);BG(5);AE(3);AK(4);AT(2);AH(5);AR(2);AX(4);BC(1);AP(2);AU(3);AF(5);AA(4);AL(1);BF(7);BB(1);AM(3);AI(3);AB(2);AC(2);BE(3);AD(3);AG(1);AO(1);	Day5,12:29	Day5,13:14
i99	5	Day5,3:48	R7	16	30	AJ(3);AP(2);AH(3);AQ(3);AV(3);AF(2);AL(1);AR(4);AN(1);AE(1);AK(2);AU(1);AB(1);AD(1);AC(1);AW(1);	Day5,13:24	Day5,13:38
i111	5	Day5,13:13	R2	28	120	AX(4);AB(8);AA(4);BB(4);AY(7);AW(12);BG(4);AP(7);AV(7);AC(3);BF(1);AN(4);AF(4);BE(6);BC(5);AD(2);AH(8);AJ(7);AK(5);AQ(3);AR(5);BA(2);BD(1);AZ(1);AE(2);AI(1);AU(1);AS(2);	Day5,13:58	Day5,14:52
i110	5	Day5,13:6	R1	28	90	AD(3);AW(8);AS(3);BB(4);AJ(4);AM(1);AP(5);AE(2);AC(2);AV(7);AY(4);BE(3);AN(3);AT(1);AX(4);AH(8);AR(4);AF(3);BG(2);AQ(6);AU(3);AI(2);AG(1);AB(1);BF(1);AL(1);AK(3);AA(1);	Day5,15:2	Day5,15:43
i112	5	Day5,14:17	R3	29	90	AH(9);AJ(3);BG(6);AR(3);AT(3);AS(4);AK(5);AX(3);AQ(2);AW(7);AY(1);BC(4);AN(3);AV(5);AG(1);AZ(1);AU(2);AC(1);AI(2);AL(1);BE(1);AD(5);AM(1);BF(4);AP(2);AA(4);BA(1);AB(2);AF(4);	Day5,15:53	Day5,16:34
i116	5	Day5,15:17	R1	25	70	BG(4);AH(10);AN(2);AA(3);AB(6);AM(1);AX(4);AE(1);AK(2);BB(3);AP(6);AV(2);AR(5);BE(2);AJ(1);AD(3);BA(1);AW(2);BD(2);AF(2);AZ(1);AY(3);AQ(2);AC(1);AU(1);	Day5,16:44	Day5,17:16
i120	5	Day5,16:12	R3	25	70	AK(8);BG(3);AV(3);AT(1);AH(7);AY(7);AW(6);BC(1);AN(5);AJ(3);AM(1);BF(1);AP(2);AR(2);AA(1);AB(4);AE(3);AC(2);BB(1);AX(2);AF(2);AZ(1);AU(2);AD(1);AI(1);	Day5,17:26	Day5,17:58
i121	5	Day5,17:3	R9	29	130	AX(4);AW(15);AM(4);BE(4);AU(2);AR(5);BF(5);AI(2);BG(6);AH(8);AF(8);AV(6);AD(3);AT(3);AY(7);AK(6);BC(6);AA(3);BB(5);AN(4);AZ(2);AP(11);AC(2);BD(2);BA(1);AO(1);AB(3);AQ(1);AG(1);	Day5,18:8	Day5,19:7
i123	5	Day5,17:29	R1	31	100	AQ(1);AG(1);AW(10);AH(8);BE(2);BB(2);AJ(5);AU(1);AD(5);BD(4);AP(4);AV(7);AN(4);AS(1);AA(4);BG(3);AK(3);AC(2);AF(6);AZ(3);AB(2);AI(2);AY(1);BC(2);AM(2);BF(2);AE(1);AX(4);AO(1);AR(6);AT(1);	Day5,19:17	Day5,20:2
i122	5	Day5,17:26	R3	28	90	AJ(2);AX(3);AV(6);AS(1);AR(4);AK(8);BB(2);AA(2);AH(9);AT(2);AW(9);AD(3);AU(4);AC(2);AI(1);BD(1);AP(5);AF(2);AN(2);AY(3);BF(4);AB(3);AE(2);BG(3);AL(1);BE(3);BC(2);AG(1);	Day5,20:12	Day5,20:53
i129	5	Day5,19:50	R1	29	110	AP(8);BE(4);AY(7);BA(1);AG(2);AH(11);AW(10);AV(2);AZ(4);AN(4);BG(2);AX(8);AA(3);BB(4);AI(1);AC(5);AE(6);AB(3);AS(4);BF(1);AQ(4);BD(1);AU(2);AR(2);AD(2);AK(4);AF(3);AJ(1);AT(1);	Day5,21:3	Day5,21:53
i132	5	Day5,21:3	R1	30	100	AM(2);AD(3);AH(14);AW(10);AV(8);AN(2);AJ(3);BE(4);AB(5);AG(1);AZ(2);AR(4);AL(3);BB(2);AX(3);AY(8);AQ(1);AC(3);AP(3);AE(3);BC(1);AF(1);AK(4);AA(3);AU(2);AO(1);AI(1);BA(1);AT(1);BG(1);	Day5,22:3	Day5,22:49
i127	5	Day5,20:12	R3	31	100	AW(7);AD(5);AC(1);AX(8);AZ(2);BA(1);AK(8);AM(1);AV(5);AY(5);BG(4);BE(2);AH(7);AJ(3);AR(6);BF(2);AT(2);BD(3);AP(6);AB(4);AE(1);AU(1);AF(2);AG(1);AL(2);BB(4);AS(2);AN(2);AQ(1);AA(1);BC(1);	Day5,22:59	Day5,23:44
i124	5	Day5,18:18	R10	27	70	AY(4);AC(3);AH(6);AJ(2);AT(2);AG(2);AR(4);AS(3);AN(4);AW(5);AX(2);AA(2);AI(2);AV(3);AK(3);AP(2);AZ(1);BG(3);AL(2);AE(3);BB(1);AD(2);AQ(2);BF(3);AF(2);BC(1);AB(1);	Day5,23:54	Day6,0:26
i131	5	Day5,22:3	R1	22	60	AR(2);AZ(1);AP(4);BF(6);AJ(1);AD(4);BG(2);AN(3);AW(1);BE(2);AC(3);BC(3);AY(2);AV(7);AH(5);AK(5);AB(2);AU(2);AG(2);AX(1);AS(1);AM(1);	Day6,0:36	Day6,1:3
i133	6	Day6,0:16	R10	28	130	BC(3);AX(8);AZ(2);AD(11);AN(8);AH(10);BB(1);AJ(6);AW(9);AK(9);AV(4);BG(4);AC(3);AS(3);AY(5);AE(7);AM(3);AU(3);AF(2);AB(3);AA(3);BF(2);AQ(3);AL(1);AR(11);AP(4);AT(1);BD(1);	Day6,1:13	Day6,2:12
i113	5	Day5,14:36	R2	24	60	AN(3);AH(7);AV(3);AF(3);BC(2);BA(1);AC(4);BB(2);AR(2);AM(1);AP(7);AK(3);AW(4);AY(2);AX(3);AJ(1);AU(2);AG(1);AD(3);BG(2);BD(1);AA(1);AT(1);BE(1);	Day6,2:22	Day6,2:49
i135	6	Day6,2:4	R10	31	140	AV(8);AU(4);AT(5);AP(12);AX(12);AH(15);AK(6);AZ(3);AF(6);AC(5);AM(1);AW(7);BE(3);BB(4);BF(3);BD(2);AB(2);AG(2);AE(3);AY(5);AD(5);AA(5);AS(2);AQ(2);AI(4);AN(4);BA(1);AO(2);AR(5);AL(1);BG(1);	Day6,2:59	Day6,4:3
i138	6	Day6,2:55	R2	30	100	AC(6);AD(5);AH(9);AW(4);AE(4);AA(1);BF(2);AP(6);AN(2);AJ(3);AI(1);BB(1);AX(6);AG(3);AK(8);BE(7);AM(4);AQ(3);AR(2);AY(7);AB(2);AT(1);BG(2);BD(1);BC(2);AV(4);AL(1);AU(1);AF(1);AO(1);	Day6,4:13	Day6,4:59
i139	6	Day6,4:13	R2	29	80	AQ(5);AN(4);AV(5);AG(1);AD(2);AO(1);AK(4);AH(2);AY(7);AT(1);AW(5);AC(3);BB(1);AE(3);AF(1);AA(1);AJ(3);AP(6);AS(2);BF(3);AI(1);AX(4);BG(3);AR(5);BC(2);AB(1);AM(1);BE(1);AL(2);	Day6,5:9	Day6,5:45
i140	6	Day6,5:9	R2	28	80	AX(8);AH(7);AV(3);BG(6);AW(4);AM(1);AR(4);BA(3);AD(3);AQ(1);AP(7);AN(1);AC(3);BF(3);AY(1);BC(3);AU(3);AT(4);AF(1);AL(2);AJ(2);AE(1);BB(1);AZ(1);AO(1);AK(4);AG(1);AA(1);	Day6,5:55	Day6,6:31
i137	6	Day6,2:59	R10	25	80	BE(1);AU(2);AK(2);AW(10);AE(3);BC(2);AV(2);AM(1);AX(6);AD(6);AH(11);BG(3);AN(2);AR(5);AY(5);AS(3);AB(5);AC(2);BF(2);AQ(1);BB(1);AJ(1);AP(1);AA(2);BA(1);	Day6,6:41	Day6,7:18
i134	6	Day6,5:55	R2	26	60	AK(5);AY(4);AR(2);AX(1);AQ(3);AF(1);AE(3);BB(3);AW(8);AH(5);AA(3);AP(3);AT(2);AI(1);AM(2);AG(2);BG(1);AO(1);AC(2);AV(1);BF(2);BE(1);BD(1);AD(1);AZ(1);AN(1);	Day6,7:28	Day6,7:55
i144	6	Day6,7:3	R10	27	70	AR(5);AD(5);BG(2);AX(3);BA(3);AP(5);BD(2);AS(1);AV(3);BC(4);AA(2);AW(6);BF(2);AN(3);AY(1);AH(8);AJ(1);AK(4);BB(1);AU(2);AL(1);AQ(1);AE(1);AI(1);BE(1);AO(1);AB(1);	Day6,8:5	Day6,8:37
i114	5	Day5,14:41	R4	24	60	AH(8);AP(5);AX(8);AB(3);AW(2);AS(2);AY(4);BB(2);BG(3);AF(1);AE(1);AR(5);BC(1);AJ(4);AN(1);AC(1);BE(1);AG(1);AU(1);AA(1);AK(1);AV(1);BF(2);BD(1);	Day6,8:47	Day6,9:14
i117	5	Day5,15:41	R6	28	60	AJ(3);AV(3);AF(3);AA(1);BF(2);AS(2);AX(2);AW(5);BG(4);BE(2);AT(1);AH(5);BB(2);AI(1);BC(1);BD(2);AR(4);AQ(1);AP(4);BA(1);AE(2);AZ(2);AU(1);AD(2);AM(1);AB(1);AC(1);AG(1);	Day6,9:24	Day6,9:51
i147	6	Day6,9:15	R4	28	80	AJ(2);AL(1);AH(10);AU(2);BF(3);BE(1);AD(6);AY(3);AB(1);AM(2);AN(7);AS(4);AV(3);AQ(1);AX(4);AW(5);AK(6);AP(5);AF(1);AR(3);BC(2);AC(2);AZ(1);AO(1);AG(1);AT(1);BD(1);BG(1);	Day6,10:1	Day6,10:38
i148	6	Day6,9:34	R6	29	120	BF(4);AR(4);AQ(3);AX(6);AW(7);BE(5);AF(4);AH(13);AN(10);AB(4);AD(3);BG(4);BC(3);AI(1);AJ(6);AV(4);AS(2);AK(9);AY(5);AP(7);AM(1);BB(2);AC(1);AT(4);AA(1);AZ(2);AO(1);AU(2);BA(2);	Day6,10:48	Day6,11:42
i150	6	Day6,10:26	R4	29	80	AW(5);AH(7);AB(3);AP(6);AR(3);AV(4);AC(3);BG(4);AJ(5);AF(4);AX(5);AM(2);AK(4);AZ(1);BE(2);AD(1);AS(1);AE(4);AA(2);AG(2);BF(2);BB(3);AT(1);AN(1);AU(1);BC(1);AQ(1);AL(1);BD(1);	Day6,11:52	Day6,12:29
i151	6	Day6,10:48	R6	23	80	AN(2);AS(4);BA(1);AB(5);BF(4);AJ(3);AX(3);BD(2);AR(4);AW(7);AU(2);BG(3);AH(11);AV(7);AE(4);AC(2);AD(1);BE(2);AA(3);AF(4);AK(4);AP(1);AZ(1);	Day6,12:39	Day6,13:15
i152	6	Day6,12:39	R6	30	130	AO(1);AV(7);BA(1);AK(7);AY(10);AX(11);AR(7);AU(2);AB(3);AM(2);AG(2);AN(5);AH(10);BF(4);AF(5);AW(10);BB(4);BG(2);AP(12);AD(5);AJ(5);AQ(3);BE(3);BC(2);AE(2);AL(1);AA(1);BD(1);AT(1);AC(1);	Day6,13:25	Day6,14:24
i154	6	Day6,13:44	R6	27	100	AX(6);AR(3);AW(9);AP(5);AK(3);AH(12);AN(9);AY(2);AC(3);BE(4);AS(2);BC(3);AB(3);AA(2);BG(2);BF(2);AJ(8);AE(3);AM(3);AD(6);AG(1);BA(1);AV(4);AF(1);BB(1);AI(1);AT(1);	Day6,14:34	Day6,15:19
i153	6	Day6,14:34	R6	27	80	AB(3);AC(4);AY(4);AP(6);AH(5);AW(4);AN(6);AK(5);AF(5);AX(3);BC(2);AZ(1);BB(5);BF(3);AM(3);AV(3);AI(1);AQ(1);AR(3);AE(2);AJ(1);AD(2);AS(1);AT(3);AL(1);BD(1);AA(2);	Day6,15:29	Day6,16:6
i146	6	Day6,11:52	R4	24	70	AJ(4);AH(5);AR(3);AU(2);BE(6);AC(4);AV(5);AK(1);AP(7);AF(5);AW(5);BB(2);AQ(3);BF(1);AY(6);AN(1);AS(1);AE(1);BC(1);BG(1);AX(2);AB(2);AD(1);BD(1);	Day6,16:16	Day6,16:48
i160	6	Day6,15:53	R6	27	80	AH(10);AU(2);BA(2);AR(4);AK(3);AF(4);AB(3);AJ(2);AW(9);AE(3);BD(3);AD(2);BE(2);AG(2);AX(2);BB(3);AA(3);AN(4);BG(1);BC(2);AQ(2);BF(1);AP(2);AS(2);AC(3);AY(2);AM(2);	Day6,16:58	Day6,17:34
i156	6	Day6,16:16	R4	26	70	AK(3);AR(6);AW(8);AI(3);AF(5);AP(4);BD(1);AC(3);AJ(4);BC(3);AB(4);AY(3);AE(1);BF(1);AO(2);AN(1);AH(6);AA(2);AV(2);BG(1);BB(1);AD(1);AQ(1);AM(1);AZ(2);BE(1);	Day6,17:44	Day6,18:16
i162	6	Day6,17:25	R6	29	100	AD(6);AK(5);AU(2);BE(6);AH(5);AW(10);AF(5);AR(4);AN(4);AS(5);AY(3);BB(4);BF(3);AV(7);AJ(3);AP(6);BG(6);AA(2);AT(1);AO(1);AB(2);AL(1);AC(3);AQ(1);AX(1);AG(1);AZ(1);BC(1);AM(1);	Day6,18:26	Day6,19:11
i161	6	Day6,17:44	R4	29	80	AP(7);BG(4);AH(6);AV(4);AE(3);AY(3);AQ(3);AB(5);AS(2);BC(3);AR(3);AX(4);AN(3);AO(1);BE(3);AW(4);AZ(2);AF(2);AT(1);BD(1);AA(3);BF(3);BB(1);AK(3);AD(1);AM(2);AL(1);AU(1);AJ(1);	Day6,19:21	Day6,19:58
i157	6	Day6,18:26	R6	25	70	AE(3);AV(6);AA(3);AW(5);AP(6);AK(6);AM(1);BF(2);AJ(2);BC(2);AR(5);AB(2);AH(5);BG(2);AC(4);AX(3);AL(1);BD(1);AU(1);AF(5);AS(1);BB(1);AI(1);BE(1);AG(1);	Day6,20:8	Day6,20:39
i149	6	Day6,19:21	R4	24	60	AW(8);AX(3);AT(2);AD(2);BG(4);AH(4);AK(3);AL(1);AV(5);AA(1);AC(3);AS(2);AR(3);BB(2);AU(2);AE(2);AM(2);BF(1);AN(4);BD(2);AB(1);AF(1);BE(1);AY(1);	Day6,20:49	Day6,21:17
i163	6	Day6,20:17	R6	27	100	BB(3);AF(5);AL(1);AK(12);AW(6);AI(1);AV(7);AA(2);AE(5);AR(2);AJ(3);AH(4);AM(2);BE(3);AP(6);AX(5);AO(2);AD(5);AY(5);AC(3);BG(5);BF(2);AU(2);BC(1);AB(3);AN(4);BA(1);	Day6,21:27	Day6,22:12
i164	6	Day6,20:49	R4	24	70	AH(4);BG(4);AG(4);AS(3);AN(3);AK(4);AY(2);AL(1);AC(1);AW(6);AR(4);AJ(3);BA(2);AA(3);AF(3);AB(1);BC(1);AE(2);AX(3);BE(4);BB(4);AV(3);AQ(1);AP(4);	Day6,22:22	Day6,22:54
i155	6	Day6,21:27	R6	24	60	AV(7);AD(2);BG(3);AZ(1);AN(1);BC(2);AB(3);AH(3);AE(2);AX(3);AT(2);AP(3);AK(4);AJ(3);AU(3);BE(2);AY(1);AF(3);AM(2);AI(2);AC(1);AR(3);AQ(1);AA(3);	Day6,23:4	Day6,23:31
i168	6	Day6,22:44	R4	32	130	AY(8);AA(2);AH(16);AR(6);AI(1);BG(7);AC(3);BC(4);AX(5);AF(4);AU(6);AG(1);AB(6);AE(5);AP(6);BF(5);BD(2);AD(6);BA(1);AK(6);AN(3);AV(6);AT(2);AW(8);AJ(1);AS(1);BB(1);AM(1);BE(1);AQ(3);AZ(2);AL(1);	Day6,23:41	Day7,0:40
i169	6	Day6,23:4	R6	27	100	BG(7);AX(6);AR(7);BE(4);AP(8);AE(2);AK(7);AD(5);AS(3);AH(8);AW(7);BC(1);AJ(2);AM(1);AZ(3);AV(5);AT(3);AO(1);AQ(2);AC(3);AL(2);BB(1);AF(4);AY(3);AB(3);BD(1);AG(1);	Day7,0:50	Day7,1:36
i171	6	Day6,23:41	R4	26	70	AP(6);BF(3);AJ(3);AU(3);AT(1);AQ(1);AX(3);AW(5);AS(3);AA(4);AY(4);BA(2);AN(2);BG(5);AG(1);AH(3);AV(3);AZ(2);AL(3);AD(2);AB(2);BB(2);AF(3);AE(1);BD(2);AM(1);	Day7,1:46	Day7,2:18
i118	5	Day5,15:50	R7	23	60	AW(6);AY(3);AB(2);AD(2);AG(1);AN(2);BF(4);AL(2);AT(4);AP(8);AC(3);BE(3);AJ(2);AZ(1);AH(4);AR(2);AK(5);AF(1);AQ(1);AX(1);BC(1);BG(1);AV(1);	Day7,2:28	Day7,2:55
i119	5	Day5,16:2	R8	25	60	AW(6);AR(3);BA(1);BE(1);AH(5);AV(4);AX(4);AF(2);AP(3);AT(2);AB(1);AL(1);AY(7);AK(3);BF(2);AE(2);BC(1);AS(2);BB(1);AD(2);BD(2);AM(1);AN(2);AU(1);BG(1);	Day7,3:5	Day7,3:32
i145	6	Day6,8:12	R10	24	60	AH(8);AB(2);BA(1);BG(4);AU(2);AV(3);AW(3);AE(2);AR(1);BE(4);AT(1);AD(3);AP(2);BC(2);AQ(1);AY(3);AN(6);BB(2);AC(1);AK(3);AA(2);BF(1);AL(1);AF(2);	Day7,3:42	Day7,4:9
i136	6	Day6,7:28	R2	23	50	BF(5);AW(6);AS(2);AX(4);BG(4);AZ(1);AD(1);AN(2);AP(2);AH(2);AR(3);AF(1);AJ(3);AY(3);AA(2);AT(1);AE(1);BB(1);AM(1);AB(1);AV(1);AU(1);BE(2);	Day7,4:19	Day7,4:42
i115	5	Day5,15:12	R5	26	50	AC(4);BF(3);AU(3);AY(1);AQ(1);AH(4);AR(3);AF(1);AB(2);AW(3);BC(1);AE(3);BE(1);AS(3);BG(1);BA(1);AK(2);AD(2);AN(2);AI(1);BB(3);AP(1);AV(1);AJ(1);AT(1);AX(1);	Day7,4:52	Day7,5:15
i167	6	Day7,0:50	R6	20	50	AJ(4);BG(2);AP(3);AN(3);AQ(2);AE(2);AU(1);BB(2);AK(2);AV(4);AY(3);AW(4);AX(3);BE(1);AF(6);AC(2);AH(2);BD(1);AR(1);AD(2);	Day7,5:25	Day7,5:48
i174	7	Day7,5:0	R5	25	70	AP(5);AY(4);AD(2);AV(6);AH(5);BD(2);AB(3);BB(2);AW(2);AQ(3);AA(3);BF(2);AI(1);BA(1);AR(3);AN(4);AS(4);AE(2);AK(4);AX(1);AF(5);AL(1);BG(2);AT(2);AU(1);	Day7,5:58	Day7,6:29
i173	7	Day7,4:44	R2	21	50	AC(7);AV(4);AB(2);AS(3);AK(5);AW(6);AN(4);AU(1);AQ(1);BF(2);AR(3);AE(1);AT(2);AX(1);AD(1);AY(1);AJ(1);AH(2);BB(1);BC(1);BD(1);	Day7,6:39	Day7,7:2
i175	7	Day7,5:58	R5	27	100	AK(7);AO(2);AP(6);AD(3);AB(5);AW(8);AY(7);AJ(5);BG(2);BC(5);AA(3);AX(2);AF(4);BB(7);AI(1);AH(9);BE(2);AC(4);BA(2);AG(3);AR(2);AS(1);AV(4);AE(1);AN(3);AZ(1);AM(1);	Day7,7:12	Day7,7:58
i177	7	Day7,6:51	R2	29	80	AY(3);AU(3);AD(5);AV(4);AG(1);AH(11);AR(5);BG(2);AB(2);AN(5);AK(2);AW(9);BB(2);AP(2);AX(4);AE(2);AA(1);BF(1);AI(1);BD(1);AZ(1);AJ(3);AQ(1);BE(3);AC(2);AM(1);AT(1);BA(1);BC(1);	Day7,8:8	Day7,8:44
i178	7	Day7,7:57	R5	24	70	AL(2);AB(2);AX(4);AU(2);BA(2);AM(2);AK(3);AP(5);AN(2);AY(6);BB(4);AV(2);AF(4);AC(3);AW(7);AJ(5);AQ(3);BF(1);AH(4);AD(2);AA(2);AE(1);BC(1);BE(1);	Day7,8:54	Day7,9:26
i179	7	Day7,8:38	R2	30	100	AB(3);AV(8);BF(2);AP(8);AK(8);AD(3);AN(5);BA(2);BC(1);AO(1);AW(7);BE(2);AE(5);AQ(2);AX(8);AC(3);AF(3);AR(3);AH(6);BD(2);BG(3);AS(1);AJ(1);AY(6);AT(2);AM(1);AG(1);AU(1);BB(1);AL(1);	Day7,9:36	Day7,10:21
i176	7	Day7,8:54	R5	24	60	BD(1);AP(5);AV(3);AQ(3);AH(5);AN(7);AJ(2);AB(1);AK(4);AY(2);BB(3);AE(2);AF(2);AD(4);AR(3);BC(1);AZ(2);AA(1);AW(2);BE(2);BF(2);AT(1);AC(1);AS(1);	Day7,10:31	Day7,10:59
i182	7	Day7,10:21	R2	27	100	AN(7);AJ(5);BB(3);AQ(4);AG(1);AY(8);AM(3);BG(4);AX(7);AF(9);AH(7);AV(5);AC(2);BF(1);AD(2);AW(3);AP(5);AL(3);BE(2);AT(1);BD(2);BC(4);AU(1);AK(5);AZ(2);AB(1);AR(3);	Day7,11:9	Day7,11:54
i183	7	Day7,10:40	R5	28	80	AI(1);AX(2);AN(5);AM(2);AA(1);AO(2);AP(7);AL(2);AQ(3);BE(2);AH(4);AR(5);AK(4);AW(8);AY(2);AJ(1);AV(6);AF(4);AD(2);AB(3);BF(2);AC(5);AT(1);AE(2);AU(1);BD(1);BB(1);BG(1);	Day7,12:4	Day7,12:40
