outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o272	6	1	Day6,1:13	Day6,1:38	Day6,2:23	6	2	44	AP(23);AJ(21);
o273	6	2	Day6,2:12	Day6,2:22	Day6,3:7	1	1	33	AR(33);
o274	6	1	Day6,2:12	Day6,2:22	Day6,3:17	3	1	30	AD(30);
o275	6	1	Day6,2:22	Day6,2:32	Day6,3:27	2	1	26	AS(26);
o276	6	2	Day6,2:22	Day6,2:32	Day6,3:37	4	1	25	AK(25);
o277	6	1	Day6,2:32	Day6,2:57	Day6,3:47	5	2	41	AC(24);AG(17);
o278	6	2	Day6,2:49	Day6,2:59	Day6,3:57	6	1	26	BC(26);
o279	6	1	Day6,2:57	Day6,3:22	Day6,4:7	7	2	43	AH(22);AT(21);
o280	6	2	Day6,3:7	Day6,3:32	Day6,4:17	1	2	40	AF(21);AU(19);
o281	6	1	Day6,3:22	Day6,4:2	Day6,4:47	3	3	28	BB(16);BA(7);AB(5);
o282	6	2	Day6,4:3	Day6,4:13	Day6,4:58	2	1	26	AX(26);
o283	6	1	Day6,4:3	Day6,4:28	Day6,5:13	4	2	40	AP(23);BG(17);
o284	6	2	Day6,4:59	Day6,5:9	Day6,5:54	1	1	26	AV(26);
o285	6	1	Day6,4:59	Day6,5:9	Day6,6:4	3	1	25	AW(25);
o286	6	1	Day6,5:45	Day6,5:55	Day6,6:40	2	1	28	AY(28);
o287	6	2	Day6,5:45	Day6,5:55	Day6,6:50	4	1	26	AH(26);
o288	6	1	Day6,6:31	Day6,6:41	Day6,7:26	1	1	26	AQ(26);
o289	6	2	Day6,6:31	Day6,6:41	Day6,7:36	3	1	25	AK(25);
o290	6	1	Day6,7:18	Day6,7:28	Day6,8:13	2	1	27	BF(27);
o291	6	2	Day6,7:18	Day6,7:43	Day6,8:28	4	2	44	AN(24);AP(20);
o292	6	1	Day6,7:28	Day6,7:53	Day6,8:38	1	2	47	AX(24);AC(23);
o293	6	2	Day6,7:55	Day6,8:5	Day6,8:50	3	1	27	AW(27);
o294	6	1	Day6,7:55	Day6,8:5	Day6,9:0	5	1	25	AR(25);
o295	6	1	Day6,8:5	Day6,8:15	Day6,9:10	6	1	25	AD(25);
o296	6	2	Day6,8:37	Day6,8:47	Day6,9:32	2	1	31	AH(31);
o297	6	1	Day6,8:37	Day6,8:47	Day6,9:42	4	1	25	AA(25);
o298	6	1	Day6,8:47	Day6,8:57	Day6,9:52	1	1	25	AE(25);
o299	6	2	Day6,8:47	Day6,9:12	Day6,10:2	7	2	26	BD(21);AQ(5);
o300	6	1	Day6,9:14	Day6,9:39	Day6,10:24	3	2	41	AJ(21);BG(20);
o301	6	2	Day6,9:14	Day6,9:39	Day6,10:34	5	2	32	BE(18);BC(14);
o302	6	2	Day6,9:51	Day6,10:1	Day6,10:46	4	1	25	AM(25);
o303	6	1	Day6,9:39	Day6,10:4	Day6,10:56	2	2	34	AI(18);AL(16);
o304	6	2	Day6,10:1	Day6,10:26	Day6,11:11	1	2	28	AV(18);AZ(10);
o305	6	1	Day6,10:33	Day6,10:58	Day6,11:43	3	2	33	AP(24);BF(9);
o306	6	2	Day6,10:33	Day6,10:58	Day6,11:53	6	2	40	AY(21);AF(19);
o307	6	1	Day6,11:38	Day6,11:48	Day6,12:33	1	1	31	AH(31);
o308	6	2	Day6,11:38	Day6,11:48	Day6,12:43	2	1	25	AW(25);
o309	6	1	Day6,12:24	Day6,12:34	Day6,13:19	3	1	28	AK(28);
o310	6	2	Day6,12:24	Day6,12:34	Day6,13:29	4	1	26	AX(26);
o311	6	1	Day6,13:10	Day6,13:20	Day6,14:5	1	1	28	AR(28);
o312	6	2	Day6,13:10	Day6,13:20	Day6,14:15	2	1	27	AB(27);
o313	6	1	Day6,14:19	Day6,14:29	Day6,15:14	3	1	31	AH(31);
o314	6	2	Day6,14:19	Day6,14:29	Day6,15:24	4	1	30	AN(30);
o315	6	1	Day6,15:15	Day6,15:25	Day6,16:10	1	1	31	AJ(31);
o316	6	2	Day6,15:15	Day6,15:25	Day6,16:20	2	1	31	AW(31);
o317	6	1	Day6,16:1	Day6,16:11	Day6,16:56	3	1	36	AP(36);
o318	6	2	Day6,16:1	Day6,16:11	Day6,17:6	4	1	33	AV(33);
o319	6	1	Day6,16:11	Day6,16:21	Day6,17:16	1	1	31	AD(31);
o320	6	2	Day6,16:11	Day6,16:21	Day6,17:26	5	1	30	BB(30);
o321	6	1	Day6,16:21	Day6,16:31	Day6,17:36	2	1	26	AS(26);
o322	6	2	Day6,16:21	Day6,16:31	Day6,17:46	6	1	25	AO(25);
o323	6	1	Day6,16:31	Day6,16:56	Day6,17:56	7	2	44	AY(24);AF(20);
o324	6	2	Day6,16:56	Day6,17:6	Day6,18:6	3	1	28	AX(28);
o325	6	2	Day6,17:34	Day6,17:44	Day6,18:29	1	1	27	AC(27);
o326	6	1	Day6,17:34	Day6,17:44	Day6,18:39	4	1	34	AH(34);
o327	6	1	Day6,17:44	Day6,17:54	Day6,18:49	2	1	27	AU(27);
o328	6	2	Day6,17:44	Day6,17:54	Day6,18:59	5	1	27	BE(27);
o329	6	1	Day6,17:54	Day6,18:4	Day6,19:9	6	1	26	AK(26);
o330	6	2	Day6,17:56	Day6,18:6	Day6,19:19	7	1	25	AT(25);
o331	6	1	Day6,18:6	Day6,18:31	Day6,19:29	3	2	31	BF(23);AP(8);
o332	6	2	Day6,18:29	Day6,18:39	Day6,19:39	1	1	26	AR(26);
o333	6	2	Day6,19:11	Day6,19:21	Day6,20:6	2	1	29	BG(29);
o334	6	1	Day6,19:11	Day6,19:21	Day6,20:16	4	1	36	AW(36);
o335	6	1	Day6,19:58	Day6,20:8	Day6,20:53	3	1	28	AN(28);
o336	6	2	Day6,19:58	Day6,20:8	Day6,21:3	5	1	26	AE(26);
o337	6	1	Day6,20:39	Day6,20:49	Day6,21:34	1	1	28	AB(28);
o338	6	2	Day6,20:39	Day6,20:49	Day6,21:44	2	1	26	AA(26);
o339	6	1	Day6,20:49	Day6,20:59	Day6,21:54	4	1	26	BC(26);
o340	6	2	Day6,20:49	Day6,20:59	Day6,22:4	6	1	25	AF(25);
o341	6	1	Day6,20:59	Day6,21:24	Day6,22:14	3	2	41	AP(23);AJ(18);
o342	6	2	Day6,21:17	Day6,21:27	Day6,22:24	5	1	28	AV(28);
o343	6	1	Day6,21:24	Day6,21:34	Day6,22:34	7	1	26	AH(26);
o344	7	2	Day6,22:12	Day6,22:22	Day6,23:7	1	1	32	AK(32);
o345	7	1	Day6,22:12	Day6,22:37	Day6,23:22	2	2	40	AW(23);AR(17);
o346	7	2	Day6,22:54	Day6,23:4	Day6,23:49	3	1	26	AG(26);
o347	7	1	Day6,22:54	Day6,23:19	Day7,0:4	4	2	41	BB(22);BA(19);
o348	7	2	Day6,23:4	Day6,23:29	Day7,0:14	5	2	38	AX(21);AC(17);
o349	7	1	Day6,23:31	Day6,23:41	Day7,0:26	1	1	26	AM(26);
o350	7	2	Day6,23:31	Day6,23:56	Day7,0:41	2	2	35	BG(22);AP(13);
o351	7	1	Day7,0:40	Day7,0:50	Day7,1:35	3	1	28	AY(28);
o352	7	2	Day7,0:40	Day7,0:50	Day7,1:45	4	1	27	AH(27);
o353	7	1	Day7,1:36	Day7,1:46	Day7,2:31	1	1	31	AD(31);
o354	7	2	Day7,1:36	Day7,1:46	Day7,2:41	2	1	28	AV(28);
o355	7	1	Day7,2:18	Day7,2:28	Day7,3:13	3	1	28	AQ(28);
o356	7	2	Day7,2:18	Day7,2:28	Day7,3:23	4	1	26	AW(26);
o357	7	1	Day7,2:28	Day7,2:38	Day7,3:33	5	1	26	BE(26);
o358	7	2	Day7,2:55	Day7,3:5	Day7,3:50	1	1	28	AP(28);
o359	7	1	Day7,2:55	Day7,3:5	Day7,4:0	2	1	26	AK(26);
o360	7	1	Day7,3:5	Day7,3:30	Day7,4:15	6	2	27	BF(24);BE(3);
o361	7	2	Day7,3:32	Day7,3:42	Day7,4:27	3	1	26	AF(26);
o362	7	1	Day7,3:32	Day7,3:42	Day7,4:37	4	1	25	AN(25);
o363	7	1	Day7,3:42	Day7,4:7	Day7,4:52	5	2	41	BG(24);AA(17);
o364	7	2	Day7,4:9	Day7,4:19	Day7,5:4	1	1	28	AH(28);
o365	7	1	Day7,4:9	Day7,4:19	Day7,5:14	2	1	26	AE(26);
o366	7	1	Day7,4:19	Day7,4:29	Day7,5:24	6	1	26	AR(26);
o367	7	2	Day7,4:42	Day7,4:52	Day7,5:37	3	1	28	AS(28);
o368	7	1	Day7,4:42	Day7,4:52	Day7,5:47	4	1	26	AU(26);
o369	7	1	Day7,4:52	Day7,5:2	Day7,5:57	5	1	26	AB(26);
o370	7	2	Day7,4:52	Day7,5:2	Day7,6:7	7	1	25	BD(25);
o371	7	1	Day7,5:4	Day7,5:29	Day7,6:17	1	2	38	AX(23);AC(15);
o372	7	2	Day7,5:15	Day7,5:40	Day7,6:27	2	2	48	AW(24);AY(24);
o373	7	1	Day7,5:29	Day7,5:54	Day7,6:39	6	2	35	AJ(21);BC(14);
o374	7	2	Day7,5:48	Day7,6:13	Day7,6:58	3	2	38	AZ(21);AV(17);
o375	7	1	Day7,5:54	Day7,6:19	Day7,7:8	4	2	31	AT(21);AK(10);
o376	7	2	Day7,6:13	Day7,6:38	Day7,7:23	5	2	33	AL(20);AI(13);
o377	7	1	Day7,6:19	Day7,6:44	Day7,7:33	1	2	27	AD(14);BB(13);
o378	7	2	Day7,6:38	Day7,7:3	Day7,7:48	2	2	29	AP(16);AN(13);
o379	7	1	Day7,6:44	Day7,7:24	Day7,8:9	6	3	28	AF(15);AY(7);AW(6);
o380	7	2	Day7,7:25	Day7,7:50	Day7,8:35	3	2	33	AH(22);AK(11);
o381	7	1	Day7,7:25	Day7,8:5	Day7,8:50	4	3	30	BF(13);BE(11);AP(6);
o382	7	2	Day7,8:2	Day7,8:27	Day7,9:12	1	2	25	AR(15);AW(10);
o383	7	1	Day7,8:5	Day7,8:45	Day7,9:30	2	3	33	BG(12);AJ(11);AN(10);
o384	7	2	Day7,8:49	Day7,9:14	Day7,9:59	3	2	29	AH(16);AE(13);
o385	7	1	Day7,8:49	Day7,9:14	Day7,10:9	5	2	28	AD(14);BB(14);
o386	7	1	Day7,9:14	Day7,9:54	Day7,10:39	1	3	31	AX(14);AC(9);AG(8);
o387	7	2	Day7,9:30	Day7,9:55	Day7,10:49	2	2	34	AY(18);AW(16);
o388	7	1	Day7,9:54	Day7,10:19	Day7,11:4	4	2	26	AB(14);BA(12);
o389	7	2	Day7,10:26	Day7,10:36	Day7,11:21	3	1	27	AV(27);
o390	7	1	Day7,10:26	Day7,10:51	Day7,11:36	5	2	32	AP(20);AA(12);
o391	7	2	Day7,10:36	Day7,11:1	Day7,11:46	6	2	27	AK(17);AH(10);
o392	7	1	Day7,10:51	Day7,11:31	Day7,12:16	1	3	31	AF(13);AS(9);AU(9);
o393	7	2	Day7,11:8	Day7,11:33	Day7,12:26	2	2	27	AQ(20);BD(7);
o394	7	1	Day7,12:3	Day7,12:28	Day7,13:13	3	2	32	AX(21);AC(11);
o395	7	2	Day7,12:3	Day7,12:28	Day7,13:23	4	2	38	AN(20);AJ(18);
o396	7	1	Day7,12:28	Day7,12:53	Day7,13:38	1	2	32	AF(16);AW(16);
o397	7	2	Day7,12:49	Day7,13:14	Day7,13:59	2	2	34	AP(20);BE(14);
o398	7	1	Day7,13:31	Day7,13:56	Day7,14:41	3	2	44	AR(22);AY(22);
o399	7	2	Day7,13:31	Day7,13:56	Day7,14:51	4	2	35	AH(22);AK(13);
o400	7	1	Day7,14:13	Day7,14:38	Day7,15:23	1	2	30	AV(21);AZ(9);
o401	7	2	Day7,14:13	Day7,14:38	Day7,15:33	2	2	33	BC(18);AA(15);
o402	7	1	Day7,14:46	Day7,15:11	Day7,15:56	3	2	37	AW(21);AB(16);
o403	7	2	Day7,14:46	Day7,15:11	Day7,16:6	5	2	34	AD(18);BB(16);
o404	7	2	Day7,15:19	Day7,15:44	Day7,16:29	6	2	31	AN(17);BG(14);
o405	7	1	Day7,15:11	Day7,15:51	Day7,16:39	4	3	27	BF(17);AP(7);BE(3);
o406	7	2	Day7,15:44	Day7,16:9	Day7,16:54	1	2	31	AC(17);AX(14);
o407	7	1	Day7,15:51	Day7,16:16	Day7,17:4	2	2	30	AH(15);AE(15);
o408	7	2	Day7,16:9	Day7,16:49	Day7,17:34	3	3	28	AF(14);AU(8);AS(6);
o409	7	1	Day7,16:47	Day7,17:12	Day7,17:57	5	2	35	AK(20);AT(15);
o410	7	2	Day7,16:49	Day7,17:14	Day7,18:7	4	2	27	AQ(19);BD(8);
o411	7	1	Day7,17:56	Day7,18:21	Day7,19:6	1	2	41	AW(23);AR(18);
o412	7	2	Day7,17:56	Day7,18:21	Day7,19:16	2	2	26	AX(21);AG(5);
o413	7	1	Day7,19:0	Day7,19:10	Day7,19:55	3	1	30	AV(30);
o414	7	2	Day7,19:0	Day7,19:10	Day7,20:5	4	1	25	AH(25);
o415	7	1	Day7,19:10	Day7,19:35	Day7,20:20	1	2	46	AP(24);AJ(22);
o416	7	2	Day7,19:10	Day7,19:35	Day7,20:30	5	2	38	AY(22);AF(16);
o417	7	1	Day7,19:35	Day7,20:0	Day7,20:45	2	2	32	AN(19);AA(13);
o418	7	2	Day7,20:29	Day7,20:54	Day7,21:39	3	2	33	BF(21);BE(12);
o419	7	1	Day7,20:29	Day7,20:54	Day7,21:49	4	2	37	AK(19);AE(18);
o420	7	1	Day7,21:15	Day7,21:40	Day7,22:25	1	2	42	AW(22);AR(20);
o421	7	2	Day7,21:15	Day7,21:40	Day7,22:35	2	2	40	AU(20);AB(20);
o422	8	1	Day7,21:52	Day7,22:17	Day7,23:2	3	2	44	AX(24);AC(20);
o423	8	2	Day7,21:52	Day7,22:17	Day7,23:12	4	2	32	AH(23);AT(9);
o424	8	1	Day7,22:25	Day7,22:35	Day7,23:22	1	1	27	AP(27);
o425	8	2	Day7,22:25	Day7,22:35	Day7,23:32	5	1	25	AM(25);
o426	8	1	Day7,22:35	Day7,23:0	Day7,23:45	2	2	43	BG(24);AN(19);
o427	8	2	Day7,22:58	Day7,23:23	Day8,0:8	6	2	43	BB(22);AD(21);
o428	8	1	Day7,23:0	Day7,23:25	Day8,0:18	7	2	25	AV(22);AZ(3);
o429	8	2	Day7,23:23	Day7,23:48	Day8,0:33	1	2	31	AS(18);AF(13);
o430	8	1	Day7,23:26	Day7,23:51	Day8,0:43	3	2	38	AK(20);AH(18);
o431	8	2	Day7,23:48	Day8,0:13	Day8,0:58	2	2	33	AJ(18);BC(15);
o432	8	1	Day8,0:12	Day8,0:37	Day8,1:22	4	2	34	AW(17);AY(17);
o433	8	1	Day8,0:49	Day8,1:14	Day8,1:59	1	2	34	AI(17);AL(17);
o434	8	2	Day8,0:49	Day8,1:14	Day8,2:9	5	2	32	AP(19);AA(13);
o435	8	1	Day8,1:18	Day8,1:43	Day8,2:28	2	2	30	AR(16);AW(14);
o436	8	2	Day8,1:18	Day8,1:58	Day8,2:43	3	3	32	AB(14);AU(9);BA(9);
o437	8	1	Day8,1:59	Day8,2:24	Day8,3:9	1	2	36	AE(19);AK(17);
o438	8	2	Day8,1:59	Day8,2:24	Day8,3:19	4	2	32	AX(18);AC(14);
o439	8	1	Day8,2:28	Day8,2:53	Day8,3:38	2	2	29	AN(16);AP(13);
o440	8	2	Day8,2:28	Day8,2:53	Day8,3:48	5	2	26	BF(15);BE(11);
o441	8	1	Day8,2:53	Day8,3:33	Day8,4:18	3	3	28	AF(11);AW(10);AY(7);
o442	8	2	Day8,3:46	Day8,3:56	Day8,4:41	1	1	29	AH(29);
o443	8	1	Day8,3:46	Day8,4:11	Day8,4:56	2	2	25	AV(18);AZ(7);
o444	8	2	Day8,3:56	Day8,4:21	Day8,5:6	4	2	32	AJ(18);BG(14);
o445	8	1	Day8,4:37	Day8,5:2	Day8,5:47	3	2	29	AQ(20);BD(9);
o446	8	2	Day8,4:37	Day8,5:2	Day8,5:57	5	2	28	AP(17);AA(11);
o447	8	1	Day8,5:23	Day8,5:48	Day8,6:33	1	2	34	AX(23);AG(11);
o448	8	2	Day8,5:23	Day8,5:48	Day8,6:43	2	2	39	AD(22);AF(17);
o449	8	1	Day8,6:5	Day8,6:15	Day8,7:0	3	1	26	AW(26);
o450	8	2	Day8,6:5	Day8,6:30	Day8,7:15	4	2	43	AH(23);AK(20);
o451	8	1	Day8,6:47	Day8,6:57	Day8,7:42	1	1	25	AO(25);
o452	8	2	Day8,6:47	Day8,7:12	Day8,7:57	5	2	37	AR(22);AY(15);
o453	8	1	Day8,7:15	Day8,7:40	Day8,8:25	2	2	40	AB(21);BB(19);
o454	8	2	Day8,7:15	Day8,7:40	Day8,8:35	3	2	31	AN(17);AJ(14);
o455	8	1	Day8,7:40	Day8,8:5	Day8,8:50	4	2	25	AC(15);AX(10);
o456	8	2	Day8,7:57	Day8,8:22	Day8,9:7	1	2	36	AH(22);AE(14);
o457	8	1	Day8,8:5	Day8,8:30	Day8,9:17	5	2	25	AV(22);AZ(3);
o458	8	2	Day8,8:25	Day8,8:50	Day8,9:35	2	2	30	AS(16);AF(14);
o459	8	1	Day8,8:30	Day8,8:55	Day8,9:45	6	2	28	AP(14);BC(14);
o460	8	2	Day8,9:2	Day8,9:27	Day8,10:12	3	2	28	AK(16);AT(12);
o461	8	1	Day8,9:2	Day8,9:42	Day8,10:27	4	3	34	AD(14);AU(10);BA(10);
o462	8	2	Day8,9:30	Day8,10:10	Day8,10:55	1	3	30	AW(15);AR(8);AY(7);
o463	8	1	Day8,9:59	Day8,10:39	Day8,11:24	2	3	25	AH(17);AE(6);AK(2);
o464	8	2	Day8,10:27	Day8,10:52	Day8,11:37	3	2	37	AN(22);BG(15);
o465	8	1	Day8,10:39	Day8,11:4	Day8,11:49	4	2	29	BF(18);BE(11);
o466	8	2	Day8,10:52	Day8,11:32	Day8,12:17	5	3	28	AA(15);AP(8);BC(5);
o467	8	1	Day8,11:14	Day8,11:39	Day8,12:27	1	2	29	AW(17);AB(12);
o468	8	2	Day8,11:32	Day8,11:57	Day8,12:42	2	2	27	AD(15);AF(12);
o469	8	1	Day8,11:56	Day8,12:21	Day8,13:6	3	2	28	AX(16);AG(12);
o470	8	2	Day8,12:47	Day8,12:57	Day8,13:42	4	1	30	AV(30);
o471	8	1	Day8,12:47	Day8,13:12	Day8,13:57	1	2	31	AH(20);AK(11);
o472	8	2	Day8,13:19	Day8,13:44	Day8,14:29	2	2	32	AW(20);AF(12);
o473	8	1	Day8,13:19	Day8,13:44	Day8,14:39	3	2	31	BB(19);AS(12);
o474	8	1	Day8,13:44	Day8,14:9	Day8,14:54	4	2	36	AP(18);AJ(18);
o475	8	2	Day8,13:44	Day8,14:24	Day8,15:9	5	3	28	AN(15);BG(7);AA(6);
o476	8	2	Day8,14:35	Day8,14:45	Day8,15:30	2	1	26	AM(26);
o477	8	1	Day8,14:9	Day8,14:49	Day8,15:40	1	3	26	AC(19);AG(4);AX(3);
o478	8	2	Day8,14:45	Day8,15:10	Day8,15:55	3	2	26	AL(15);AI(11);
o479	8	1	Day8,14:49	Day8,15:14	Day8,16:5	6	2	27	AY(14);AW(13);
o480	8	2	Day8,15:10	Day8,15:50	Day8,16:35	4	3	30	AE(12);AK(10);AH(8);
o481	8	1	Day8,15:14	Day8,16:9	Day8,16:54	5	4	31	AB(9);AU(8);BA(7);AD(7);
o482	8	2	Day8,15:50	Day8,16:15	Day8,17:4	1	2	28	AQ(20);BD(8);
o483	8	1	Day8,16:9	Day8,16:34	Day8,17:19	2	2	25	AR(17);AW(8);
o484	8	2	Day8,16:15	Day8,16:40	Day8,17:29	3	2	30	AP(15);BF(15);
o485	8	2	Day8,16:40	Day8,17:20	Day8,18:5	4	3	30	BE(10);AJ(10);AN(10);
o486	8	1	Day8,16:34	Day8,17:29	Day8,18:15	6	4	25	AF(10);AB(5);AD(5);BB(5);
o487	8	2	Day8,18:5	Day8,18:15	Day8,19:0	1	1	28	AV(28);
o488	8	1	Day8,18:5	Day8,18:15	Day8,19:10	2	1	27	AH(27);
o489	8	1	Day8,18:15	Day8,18:40	Day8,19:25	3	2	28	AK(17);AT(11);
o490	8	2	Day8,18:15	Day8,18:40	Day8,19:35	4	2	27	AY(15);AF(12);
o491	8	2	Day8,18:40	Day8,19:5	Day8,19:50	6	2	26	BC(14);AA(12);
o492	8	1	Day8,18:40	Day8,19:20	Day8,20:5	5	3	27	AX(14);AC(8);AG(5);
o493	8	2	Day8,19:5	Day8,19:45	Day8,20:30	1	3	28	AN(11);BG(10);AP(7);
o494	8	1	Day8,19:20	Day8,19:45	Day8,20:40	2	2	27	AW(17);AB(10);
o495	8	1	Day8,19:45	Day8,20:55	Day8,21:40	3	5	25	AJ(12);BE(5);AP(4);AN(3);BC(1);
o496	8	2	Day8,20:34	Day8,20:59	Day8,21:50	4	2	28	AV(18);AZ(10);
o497	8	1	Day8,20:55	Day8,21:20	Day8,22:5	1	2	33	AR(17);AY(16);
o498	8	2	Day8,20:59	Day8,21:24	Day8,22:15	2	2	29	BB(15);AD(14);
o499	8	1	Day8,21:20	Day8,21:45	Day8,22:30	5	2	26	AP(14);BF(12);
o500	8	2	Day8,21:24	Day8,21:49	Day8,22:40	6	2	26	AK(14);AH(12);
o501	9	1	Day8,21:45	Day8,22:25	Day8,23:10	3	3	27	AW(11);AF(8);AB(8);
o502	9	2	Day8,21:49	Day8,22:44	Day8,23:29	7	4	26	BG(8);AJ(7);AN(6);AA(5);
o503	9	1	Day8,22:35	Day8,23:0	Day8,23:45	1	2	26	AW(19);AB(7);
o504	9	2	Day8,22:44	Day8,23:9	Day8,23:55	2	2	36	AH(18);AE(18);
o505	9	1	Day8,23:0	Day8,23:25	Day9,0:10	4	2	31	AC(16);AX(15);
o506	9	2	Day8,23:9	Day8,23:34	Day9,0:20	5	2	25	AS(13);AU(12);
o507	9	1	Day8,23:25	Day9,0:5	Day9,0:50	3	3	29	AP(12);AN(9);AJ(8);
o508	9	2	Day9,0:27	Day9,0:37	Day9,1:22	1	1	28	AV(28);
o509	9	1	Day9,0:27	Day9,0:37	Day9,1:32	2	1	26	AM(26);
o510	9	1	Day9,0:37	Day9,1:2	Day9,1:47	4	2	34	AF(18);AW(16);
o511	9	2	Day9,0:37	Day9,1:2	Day9,1:57	5	2	25	AK(14);AH(11);
o512	9	1	Day9,1:2	Day9,1:27	Day9,2:12	3	2	25	BF(14);AP(11);
o513	9	2	Day9,1:2	Day9,1:42	Day9,2:27	6	3	30	AD(13);BB(11);AS(6);
o514	9	1	Day9,1:27	Day9,2:7	Day9,2:52	1	3	26	BC(9);BE(9);AJ(8);
o515	9	2	Day9,1:42	Day9,2:7	Day9,3:2	2	2	26	AX(16);AC(10);
o516	9	1	Day9,2:7	Day9,2:32	Day9,3:17	4	2	31	AY(16);AR(15);
o517	9	2	Day9,2:7	Day9,2:47	Day9,3:32	5	3	34	BG(13);AA(11);AP(10);
o518	9	1	Day9,2:32	Day9,3:12	Day9,3:57	3	3	25	AH(9);AE(8);AK(8);
o519	9	2	Day9,2:53	Day9,3:18	Day9,4:7	1	2	25	AQ(19);BD(6);
o520	9	1	Day9,3:12	Day9,3:52	Day9,4:37	2	3	28	AW(14);AB(9);AF(5);
o521	9	2	Day9,3:18	Day9,4:13	Day9,4:58	4	4	26	AN(10);AP(7);AJ(6);BE(3);
o522	9	1	Day9,3:52	Day9,4:17	Day9,5:8	5	2	25	AW(14);AR(11);
o523	9	2	Day9,4:13	Day9,4:53	Day9,5:38	1	3	31	AH(14);AK(10);AE(7);
o524	9	1	Day9,4:17	Day9,4:57	Day9,5:48	3	3	27	BB(11);AU(9);AF(7);
o525	9	1	Day9,5:40	Day9,5:50	Day9,6:35	4	1	25	AV(25);
o526	9	2	Day9,4:53	Day9,6:3	Day9,6:48	2	5	25	BG(6);AJ(6);AN(6);AA(4);AP(3);
o527	9	1	Day9,5:50	Day9,6:15	Day9,7:0	1	2	31	AH(23);AT(8);
o528	9	2	Day9,6:3	Day9,6:28	Day9,7:13	3	2	35	AX(21);AC(14);
o529	9	1	Day9,6:15	Day9,6:40	Day9,7:25	5	2	30	BF(19);AP(11);
o530	9	2	Day9,6:28	Day9,6:53	Day9,7:38	6	2	33	AY(17);AW(16);
o531	9	2	Day9,6:53	Day9,7:18	Day9,8:3	2	2	28	AL(19);AI(9);
o532	9	1	Day9,6:40	Day9,7:35	Day9,8:20	4	4	27	AD(11);AS(6);BB(5);BA(5);
o533	9	2	Day9,7:59	Day9,8:39	Day9,9:24	1	3	26	AN(13);BC(9);BE(4);
o534	9	1	Day9,8:50	Day9,9:15	Day9,10:0	2	2	35	AW(19);AF(16);
o535	9	2	Day9,8:50	Day9,9:30	Day9,10:15	3	3	32	AK(15);AH(9);AE(8);
o536	9	1	Day9,9:15	Day9,10:10	Day9,10:55	4	4	25	BG(10);AP(6);AA(5);AJ(4);
o537	9	2	Day9,9:30	Day9,10:25	Day9,11:10	1	4	26	AD(9);AU(6);AB(6);BB(5);
o538	9	1	Day9,11:27	Day9,11:52	Day9,12:37	2	2	30	AR(22);AY(8);
o539	9	2	Day9,11:27	Day9,11:52	Day9,12:47	3	2	30	AV(21);AZ(9);
o540	9	1	Day9,11:52	Day9,12:32	Day9,13:17	1	3	30	BF(12);AP(11);BE(7);
o541	9	2	Day9,11:52	Day9,13:2	Day9,13:47	4	5	25	AD(6);AF(6);AS(6);AB(4);BA(3);
o542	9	2	Day9,13:31	Day9,13:41	Day9,14:26	1	1	27	AK(27);
o543	9	1	Day9,13:31	Day9,13:41	Day9,14:36	2	1	30	AH(30);
o544	9	1	Day9,13:41	Day9,13:51	Day9,14:46	3	1	25	AM(25);
o545	9	2	Day9,13:41	Day9,14:6	Day9,14:56	5	2	36	AW(22);AR(14);
o546	9	1	Day9,13:51	Day9,14:16	Day9,15:6	4	2	32	AX(19);AC(13);
o547	9	2	Day9,14:6	Day9,14:31	Day9,15:16	6	2	26	BG(14);AJ(12);
o548	9	1	Day9,14:16	Day9,14:56	Day9,15:41	7	3	29	AD(12);AF(9);BB(8);
o549	9	2	Day9,14:31	Day9,15:11	Day9,15:56	1	3	32	AA(11);AN(11);AP(10);
o550	9	1	Day9,15:4	Day9,15:29	Day9,16:14	2	2	28	AQ(23);BD(5);
o551	9	2	Day9,15:11	Day9,15:36	Day9,16:24	3	2	25	AV(20);AZ(5);
o552	9	1	Day9,15:29	Day9,15:54	Day9,16:39	4	2	31	AE(17);AK(14);
o553	9	2	Day9,15:36	Day9,16:1	Day9,16:49	5	2	26	AW(14);AY(12);
o554	9	1	Day9,15:54	Day9,16:34	Day9,17:19	6	3	29	BC(11);AP(10);BE(8);
o555	9	2	Day9,16:1	Day9,16:41	Day9,17:29	1	3	28	AB(11);AU(9);AF(8);
o556	9	1	Day9,16:47	Day9,16:57	Day9,17:42	2	1	30	AH(30);
o557	9	2	Day9,16:47	Day9,17:12	Day9,17:57	3	2	28	AG(16);AX(12);
o558	9	1	Day9,16:57	Day9,17:22	Day9,18:7	4	2	26	AR(15);AW(11);
o559	9	2	Day9,17:12	Day9,17:37	Day9,18:22	5	2	25	AJ(15);AP(10);
o560	9	1	Day9,17:22	Day9,18:2	Day9,18:47	6	3	34	AD(14);AB(10);AF(10);
o561	9	2	Day9,17:42	Day9,18:22	Day9,19:7	1	3	25	AY(15);AR(5);AW(5);
o562	9	1	Day9,18:2	Day9,18:27	Day9,19:17	2	2	26	AL(15);AI(11);
o563	9	2	Day9,18:22	Day9,18:47	Day9,19:32	3	2	29	BG(15);AN(14);
